dataset,budget,split_seed,layout_type,layout_label,validation_selected_mae,heldout_mae,posterior_trace
PeMS7_1026,0.1,25,best_random_by_validation,Best random,3.846665604476656,3.882551392209773,1324.485040969453
PeMS7_1026,0.1,25,trace_biopt,TRACE-BiOpt,3.765348209822864,3.730157301197529,1172.874355307778
PeMS7_1026,0.1,25,multistart_swap_by_validation,Multistart swap,3.753750878983253,3.796562660104592,1209.6584655161723
PeMS7_1026,0.1,25,rcss_selected,RCSS,3.8822560695923,3.796562660104592,1209.6584655161723
PeMS7_1026,0.1,25,validation_swap_selected,Prev. TRACE-SL,3.7229975038252583,3.8019406089963206,1229.0554880732066
PeMS7_1026,0.2,25,best_random_by_validation,Best random,3.545964173353604,3.641967838888738,1040.453786072694
PeMS7_1026,0.2,25,trace_biopt,TRACE-BiOpt,3.3869835513609443,3.3565798179313715,835.1616691881854
PeMS7_1026,0.2,25,multistart_swap_by_validation,Multistart swap,3.4409359140024893,3.470091312535913,943.484973746587
PeMS7_1026,0.2,25,rcss_selected,RCSS,3.5659770674382782,3.3768373491219936,823.7561389259685
PeMS7_1026,0.2,25,validation_swap_selected,Prev. TRACE-SL,3.4045791179497247,3.381138819314028,829.3042043813267
PeMS7_1026,0.3,25,best_random_by_validation,Best random,3.2995087039628297,3.327226748326902,817.2864913695348
PeMS7_1026,0.3,25,trace_biopt,TRACE-BiOpt,3.1240884652790597,3.1060981131491783,660.7439194189055
PeMS7_1026,0.3,25,multistart_swap_by_validation,Multistart swap,3.2367497672714176,3.233834643941744,756.1871398945473
PeMS7_1026,0.3,25,rcss_selected,RCSS,3.2506817706840927,3.1286781678436912,654.018866617898
PeMS7_1026,0.3,25,validation_swap_selected,Prev. TRACE-SL,3.1038464124902645,3.1235225773819058,658.8018028621104
PeMS7_1026,0.1,26,best_random_by_validation,Best random,3.938706681665812,4.055012768533103,1337.9154261921208
PeMS7_1026,0.1,26,trace_biopt,TRACE-BiOpt,3.811889909431984,3.8348950857337742,1171.6059278474786
PeMS7_1026,0.1,26,multistart_swap_by_validation,Multistart swap,3.826030120484177,3.8520788163214976,1218.122414194014
PeMS7_1026,0.1,26,rcss_selected,RCSS,3.514091870313972,3.8520788163214976,1218.122414194014
PeMS7_1026,0.1,26,validation_swap_selected,Prev. TRACE-SL,3.7886808335257567,3.835129715762649,1236.5493287710003
PeMS7_1026,0.2,26,best_random_by_validation,Best random,3.62255967447245,3.689087691250247,1027.2771247602277
PeMS7_1026,0.2,26,trace_biopt,TRACE-BiOpt,3.410713685788213,3.426073949052642,836.4252249317079
PeMS7_1026,0.2,26,multistart_swap_by_validation,Multistart swap,3.513248454747795,3.593098840958433,944.7326394524316
PeMS7_1026,0.2,26,rcss_selected,RCSS,3.209283143166316,3.42790794055285,824.4677176770999
PeMS7_1026,0.2,26,validation_swap_selected,Prev. TRACE-SL,3.4171560402270766,3.434403117224442,831.4887072080592
PeMS7_1026,0.3,26,best_random_by_validation,Best random,3.4284381113656344,3.463426854497475,820.7873687446224
PeMS7_1026,0.3,26,trace_biopt,TRACE-BiOpt,3.1338304110965014,3.15716257654726,660.3597877286034
PeMS7_1026,0.3,26,multistart_swap_by_validation,Multistart swap,3.318318920837928,3.334022670580444,749.5137458428118
PeMS7_1026,0.3,26,rcss_selected,RCSS,2.958505370156728,3.1871329410064364,659.7708383378861
PeMS7_1026,0.3,26,validation_swap_selected,Prev. TRACE-SL,3.1541302397563333,3.168167655238107,660.7226894192225
PeMS7_1026,0.1,27,best_random_by_validation,Best random,3.651695498866313,3.570562113576007,1316.9782585401545
PeMS7_1026,0.1,27,trace_biopt,TRACE-BiOpt,3.503238116085344,3.4493266950655337,1183.711042482113
PeMS7_1026,0.1,27,multistart_swap_by_validation,Multistart swap,3.5593626650850894,3.538479701402601,1230.4563436181306
PeMS7_1026,0.1,27,rcss_selected,RCSS,3.502878110184739,3.538479701402601,1230.4563436181306
PeMS7_1026,0.1,27,validation_swap_selected,Prev. TRACE-SL,3.519709045595281,3.5208100631282773,1249.957753572854
PeMS7_1026,0.2,27,best_random_by_validation,Best random,3.3856173628870843,3.3711243544136797,1032.074971868659
PeMS7_1026,0.2,27,trace_biopt,TRACE-BiOpt,3.1368288318444657,3.075535422634825,843.47889817595
PeMS7_1026,0.2,27,multistart_swap_by_validation,Multistart swap,3.3009328334035706,3.240989181776305,946.1953592793368
PeMS7_1026,0.2,27,rcss_selected,RCSS,3.1836971108639904,3.0891663165283485,829.4178741481516
