scope,metric_x,metric_y,statistic,value,n
selected_layout_rows,validation_selected_mae,heldout_mae,pearson,0.522633,450
selected_layout_rows,validation_selected_mae,heldout_mae,spearman,0.539913,450
selected_layout_rows,posterior_trace,heldout_mae,pearson,0.473116,450
selected_layout_rows,posterior_trace,heldout_mae,spearman,0.318671,450
full_layout_seedwise_summary,posterior_trace,heldout_mae,spearman_mean,0.8489822527043196,30
layout_type:best_random_by_validation,validation_selected_mae,heldout_mae,spearman,0.550479,90
layout_type:best_random_by_validation,posterior_trace,heldout_mae,spearman,0.368844,90
layout_type:best_random_by_validation,test_minus_validation,heldout_mae,mean_gap,0.032162,90
layout_type:multistart_swap_by_validation,validation_selected_mae,heldout_mae,spearman,0.498572,90
layout_type:multistart_swap_by_validation,posterior_trace,heldout_mae,spearman,0.300506,90
layout_type:multistart_swap_by_validation,test_minus_validation,heldout_mae,mean_gap,0.022663,90
layout_type:rcss_selected,validation_selected_mae,heldout_mae,spearman,0.354785,90
layout_type:rcss_selected,posterior_trace,heldout_mae,spearman,0.197119,90
layout_type:rcss_selected,test_minus_validation,heldout_mae,mean_gap,0.058286,90
layout_type:trace_biopt,validation_selected_mae,heldout_mae,spearman,0.633897,90
layout_type:trace_biopt,posterior_trace,heldout_mae,spearman,0.386114,90
layout_type:trace_biopt,test_minus_validation,heldout_mae,mean_gap,0.024740,90
layout_type:validation_swap_selected,validation_selected_mae,heldout_mae,spearman,0.562004,90
layout_type:validation_swap_selected,posterior_trace,heldout_mae,spearman,0.295617,90
layout_type:validation_swap_selected,test_minus_validation,heldout_mae,mean_gap,0.044228,90
