dataset,budget,route_parameter_scope,anchor_node,induced_nodes,subnetwork_size,sensor_count,combinations_per_anchor,heuristic_objective,exact_objective,objective_gap,heuristic_validation_mae,exact_validation_mae,validation_mae_gap,layout_match,heuristic_layout,exact_layout,risk_source,initializer
PeMS7_1026,0.1,Stage16 promoted row parameters,829,"[475, 485, 506, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852]",16,2,120,5.62365963981953,5.62365963981953,0.0,3.9806319428706973,3.9806319428706973,0.0,True,"[6, 12]","[6, 12]",train_val,posterior_greedy
PeMS7_1026,0.1,Stage16 promoted row parameters,488,"[488, 490, 521, 536, 541, 548, 556, 557, 574, 619, 632, 633, 634, 673, 681, 682]",16,2,120,8.052882983072658,8.052882983072658,0.0,5.372620226781708,5.372620226781708,0.0,True,"[0, 1]","[0, 1]",train_val,posterior_greedy
PeMS7_1026,0.1,Stage16 promoted row parameters,831,"[475, 485, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852, 860]",16,2,120,5.327001614812737,5.327001614812737,0.0,4.246025345488584,4.246025345488584,0.0,True,"[11, 13]","[11, 13]",train_val,posterior_greedy
PeMS7_1026,0.2,Stage16 promoted row parameters,829,"[475, 485, 506, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852]",16,3,560,4.205907779384897,4.205907779384897,0.0,3.4081979686348256,3.4081979686348256,0.0,True,"[8, 12, 15]","[8, 12, 15]",train_val,posterior_greedy
PeMS7_1026,0.2,Stage16 promoted row parameters,488,"[488, 490, 521, 536, 541, 548, 556, 557, 574, 619, 632, 633, 634, 673, 681, 682]",16,3,560,5.932042791679397,5.932042791679397,0.0,4.7503458376505305,4.7503458376505305,0.0,True,"[0, 8, 14]","[0, 8, 14]",train_val,posterior_greedy
PeMS7_1026,0.2,Stage16 promoted row parameters,831,"[475, 485, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852, 860]",16,3,560,4.136614969335693,4.136614969335693,0.0,3.3195920910412897,3.3195920910412897,0.0,True,"[7, 11, 14]","[7, 11, 14]",train_val,posterior_greedy
PeMS7_1026,0.3,Stage16 promoted row parameters,829,"[475, 485, 506, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852]",16,5,4368,2.929101102190045,2.929101102190045,0.0,2.91275503818601,2.91275503818601,0.0,True,"[3, 8, 11, 12, 14]","[3, 8, 11, 12, 14]",train_val,auto
PeMS7_1026,0.3,Stage16 promoted row parameters,488,"[488, 490, 521, 536, 541, 548, 556, 557, 574, 619, 632, 633, 634, 673, 681, 682]",16,5,4368,4.442168802854045,4.442168802854045,0.0,3.744791024218277,3.744791024218277,0.0,True,"[0, 1, 4, 9, 14]","[0, 1, 4, 9, 14]",train_val,auto
PeMS7_1026,0.3,Stage16 promoted row parameters,831,"[475, 485, 515, 523, 528, 547, 559, 573, 829, 831, 834, 843, 848, 851, 852, 860]",16,5,4368,2.7939895735180293,2.7939895735180293,0.0,2.7668607322075562,2.7668607322075562,0.0,True,"[2, 7, 10, 11, 13]","[2, 7, 10, 11, 13]",train_val,auto
PeMS7_228,0.1,Stage16 promoted row parameters,142,"[54, 57, 58, 65, 66, 68, 77, 81, 85, 87, 95, 99, 142, 145, 146, 148]",16,2,120,6.214279914437999,6.214279914437999,0.0,3.041443100514303,3.041443100514303,0.0,True,"[9, 10]","[9, 10]",train_val,objective_forward
PeMS7_228,0.1,Stage16 promoted row parameters,146,"[54, 57, 58, 65, 66, 68, 77, 81, 85, 87, 95, 99, 142, 145, 146, 148]",16,2,120,6.214279914437999,6.214279914437999,0.0,3.041443100514303,3.041443100514303,0.0,True,"[9, 10]","[9, 10]",train_val,objective_forward
PeMS7_228,0.1,Stage16 promoted row parameters,57,"[54, 57, 58, 65, 66, 69, 77, 81, 87, 95, 99, 100, 142, 145, 146, 148]",16,2,120,6.178639123902011,6.178639123902011,0.0,3.2122968603655715,3.2122968603655715,0.0,True,"[9, 11]","[9, 11]",train_val,objective_forward
