dataset,layout_type,mean_10,rank_10,mean_20,rank_20,mean_30,rank_30,avg_rank
PeMS7_1026,best_random_by_trace,3.9064933635,11,3.6106798919,13,3.3671897813,12,12.0000
PeMS7_1026,best_random_by_validation,3.8991720824,10,3.5879863705,12,3.3558314422,11,11.0000
PeMS7_1026,coverage,3.9617292621,15,3.6197664245,14,3.4665177127,19,16.0000
PeMS7_1026,degree,4.4931662517,20,4.3638622884,21,4.2119701515,21,20.6667
PeMS7_1026,graph_sampling_laplacian,4.8534655632,22,4.5612380519,22,4.4747926778,22,22.0000
PeMS7_1026,greedy_a_trace,3.7389902123,3,3.3509532251,5,3.0955114993,5,4.3333
PeMS7_1026,greedy_d_logdet,4.4975130075,21,3.8668342530,19,3.4466825321,17,19.0000
PeMS7_1026,multistart_swap_by_validation,3.7686100731,6,3.4631902547,6,3.2450303102,7,6.3333
PeMS7_1026,observability_proxy,4.4836979789,19,4.3477526526,20,4.1827486677,20,19.6667
PeMS7_1026,qr_pod_modes,4.0854021140,18,3.5449130709,10,3.1683273414,6,11.3333
PeMS7_1026,random,3.9400342571,13,3.6310184472,16,3.4223644068,14,14.3333
PeMS7_1026,rcss_selected,3.7394217569,4,3.3475967868,3,3.0855652522,4,3.6667
PeMS7_1026,robust_coverage_cvar,3.9086389382,12,3.5802462409,11,3.3783116867,13,12.0000
PeMS7_1026,scenario_average_a_trace,4.0031370143,16,3.6580874992,17,3.4260834954,15,16.0000
PeMS7_1026,scenario_cvar_a_trace,3.9475165550,14,3.6297689483,15,3.4512716033,18,15.6667
PeMS7_1026,swap_from_best_random_trace,3.8118170052,8,3.5158951886,8,3.2549490191,8,8.0000
PeMS7_1026,swap_from_greedy_a_trace,3.7342645129,2,3.3487197011,4,3.0841121999,3,3.0000
PeMS7_1026,swap_from_scenario_average,3.8449279930,9,3.5239608362,9,3.2736797539,9,9.0000
PeMS7_1026,swap_from_scenario_cvar,3.8089638342,7,3.5031188706,7,3.3074020343,10,8.0000
PeMS7_1026,top_variance,4.0257280514,17,3.7241588856,18,3.4298747647,16,17.0000
PeMS7_1026,trace_biopt,3.6046507360,1,3.2230901138,1,3.0365031789,1,1.0000
PeMS7_1026,validation_swap_selected,3.7478910962,5,3.3466673349,2,3.0740446591,2,3.0000
PeMS7_228,best_random_by_trace,3.8208890738,15,3.5305135528,15,3.3633025817,15,15.0000
PeMS7_228,best_random_by_validation,3.7233109506,13,3.4555282779,11,3.2445921401,6,10.0000
PeMS7_228,coverage,3.9173738727,17,3.6481573663,17,3.3778428277,16,16.6667
PeMS7_228,degree,4.1465533042,21,4.1110818200,21,3.9761529666,22,21.3333
PeMS7_228,graph_sampling_laplacian,4.1328750235,20,3.9917093197,20,3.8048403423,19,19.6667
PeMS7_228,greedy_a_trace,3.6859786731,10,3.4653892437,12,3.3506427542,14,12.0000
PeMS7_228,greedy_d_logdet,4.5554445485,22,4.1782364378,22,3.8792569859,20,21.3333
PeMS7_228,multistart_swap_by_validation,3.6068010599,4,3.3886916636,3,3.2372177344,5,4.0000
