dataset,budget,budget_pct,split_seed,evidence_source,source_label,progress_fraction,normalized_gap
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.00,1.000000
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.05,0.906070
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.10,0.822838
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.15,0.743324
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.20,0.665136
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.25,0.592637
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.30,0.522691
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.35,0.458244
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.40,0.403338
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.45,0.338224
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.50,0.277045
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.55,0.226681
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.60,0.178220
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.65,0.137780
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.70,0.103621
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.75,0.077158
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.80,0.057303
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.85,0.040405
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.90,0.019151
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.95,0.006349
PeMS7_1026,0.1,10,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,1.00,0.000000
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.00,1.000000
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.05,0.907795
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.10,0.816720
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.15,0.727511
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.20,0.647797
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.25,0.572833
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.30,0.505528
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.35,0.448987
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.40,0.391998
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.45,0.338459
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.50,0.296904
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.55,0.264600
PeMS7_1026,0.1,10,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,0.60,0.223170
