dataset,budget,budget_pct,evidence_source,baseline_layout,baseline_label,mean_delta,win_count,count,paired_t_p_less,paired_t_p_greater,paired_t_p_holm,wilcoxon_p_less,trace_significantly_better_holm,baseline_significantly_better_holm,wilcoxon_supports_trace
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,best_random_by_trace,best random by trace,-0.30184262753465685,10,10,2.1713639556226814e-07,0.9999997828636045,1.1508228964800211e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,best_random_by_validation,best random by validation,-0.294521346475304,10,10,9.156880583321804e-09,0.9999999908431194,9.431587000821458e-07,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,coverage,coverage,-0.3570785261177009,10,10,2.6467605587146735e-09,0.9999999973532394,3.310554375898577e-07,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,degree,degree,-0.888515515702375,10,10,4.52108986435433e-08,0.9999999547891013,3.272423621612219e-06,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,graph_sampling_laplacian,graph sampling laplacian,-1.2488148271893205,10,10,3.893653460832078e-09,0.9999999961063465,4.6334476183901724e-07,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,greedy_a_trace,greedy a trace,-0.13433947635819093,10,10,2.335285569726689e-07,0.9999997664714431,1.1676427848633446e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,greedy_d_logdet,greedy d logdet,-0.8928622714973045,10,10,8.105449126911033e-10,0.999999999189455,1.199606470782833e-07,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,multistart_swap_by_validation,Multistart validation-swap,-0.163959337116128,10,10,4.474795793371294e-07,0.9999995525204206,1.9241621911496566e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,observability_proxy,observability proxy,-0.8790472429357358,10,10,1.2025994818248943e-07,0.9999998797400518,6.975076994584386e-06,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,qr_pod_modes,qr pod modes,-0.48075137806072415,10,10,2.2677543185305545e-09,0.9999999977322457,2.932969107064497e-07,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,random,random,-0.3341773203614964,10,10,1.4132126347167776e-07,0.9999998586787365,7.772669490942276e-06,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,rcss_selected,RCSS,-0.13477102092490534,10,10,1.1161763141319714e-06,0.9999988838236858,4.2414699937014914e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,robust_coverage_cvar,robust coverage cvar,-0.3039882022558801,10,10,1.0141472266739221e-07,0.9999998985852774,6.084883360043533e-06,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,scenario_average_a_trace,scenario average a trace,-0.39848627832325023,10,10,2.1873404534758535e-07,0.9999997812659547,1.1508228964800211e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,scenario_cvar_a_trace,scenario cvar a trace,-0.342865819053692,10,10,1.231211074612534e-07,0.9999998768788926,7.017903125291444e-06,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_best_random_trace,swap from best random trace,-0.20716626925554754,10,10,2.1970527947596668e-06,0.9999978029472052,6.591158384279e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,-0.12961377692092874,10,10,1.8973744005833403e-06,0.9999981026255994,5.8818606418083546e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_scenario_average,swap from scenario average,-0.2402772570291806,10,10,2.534743089466441e-07,0.999999746525691,1.2280558400402102e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_scenario_cvar,swap from scenario cvar,-0.20431309819265236,10,10,4.90471257335857e-07,0.9999995095287426,2.0599792808105993e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,top_variance,top variance,-0.42107731542375315,10,10,3.01244676450468e-07,0.9999996987553236,1.4158499793171995e-05,0.0009765625,True,False,True
PeMS7_1026,0.1,10,stage16_replaceable:pems7_1026_10_20_posterior_iter20,validation_swap_selected,Prev. TRACE-SL,-0.14324036021039127,10,10,5.375552197050772e-06,0.999994624447803,0.00012363770053216777,0.0009765625,True,False,True
