dataset,budget,split_seed,evidence_source,source_label,source_root,initializer,sensor_count,n_nodes,exchange_steps,searched_one_exchange_coverage_pct,stop_reason,peak_trace_rss_mb,validation_mae,final_objective
PeMS7_1026,0.1,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1454.473,3.601816693863958,3.582457326795064
PeMS7_1026,0.1,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1449.016,3.7049846266115587,3.6204345119371246
PeMS7_1026,0.1,27,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,18,1.3463905163618004,no_improving_one_exchange,1399.258,3.4208461876915206,3.62294537410649
PeMS7_1026,0.1,28,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,17,1.3463905163618004,no_improving_one_exchange,1366.547,3.696442660408394,3.583107374036926
PeMS7_1026,0.1,29,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1460.824,3.4451084945571737,3.6321438887091486
PeMS7_1026,0.1,30,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1447.496,3.2042605155116495,3.6065090465423815
PeMS7_1026,0.1,31,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,16,1.3463905163618004,no_improving_one_exchange,1323.227,3.3400026978182655,3.5713266537632014
PeMS7_1026,0.1,32,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1444.195,3.469580464882905,3.6079765349387554
PeMS7_1026,0.1,33,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,18,1.3463905163618004,no_improving_one_exchange,1400.094,3.403874292572193,3.5610349038890616
PeMS7_1026,0.1,34,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,103,1026,20,1.3463905163618004,exchange_budget_exhausted,1458.945,3.709465572201763,3.6092370673326544
PeMS7_1026,0.2,25,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,205,1026,20,0.76052404860224,exchange_budget_exhausted,2960.902,3.267108707545794,2.893958786264384
PeMS7_1026,0.2,26,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,205,1026,20,0.76052404860224,exchange_budget_exhausted,2980.527,3.3164431956403955,2.9061279800058832
PeMS7_1026,0.2,27,stage16_replaceable:pems7_1026_10_20_posterior_iter20,Stage16 calibrated rerun,pems7_1026_10_20_posterior_iter20,posterior_greedy_warm_start,205,1026,20,0.76052404860224,exchange_budget_exhausted,2887.113,3.036178950029363,2.89940003717697
