source_stage,source_dir,source_csv,budget,layout,baseline,delta_mean,delta_std,delta_sem,ci95_low,ci95_high,cohens_dz,paired_t_p,wilcoxon_p,win_count,count
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,best_random_by_validation,-0.1230539144539801,0.0580018394246732,0.0183417921061317,-0.1645459308454217,-0.0815618980625386,-2.1215519313622777,8.764091420559418e-05,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,graph_sampling_laplacian,-0.5428189803941462,0.2657894274777081,0.0840499968821699,-0.7329532828743138,-0.3526846779139786,-2.0422895882104743,0.0001170030887827,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,greedy_a_trace,-0.0959226300183267,0.0737198373555399,0.023312259478067,-0.1486586247776464,-0.0431866352590071,-1.3011779930509897,0.0026186262226825,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,greedy_d_logdet,-0.9653885053700264,0.3461656927783362,0.1094672036989643,-1.2130205243091283,-0.717756486430924,-2.788804683739134,1.0078913825655343e-05,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,multistart_swap_by_validation,-0.0044692260320039,0.057732178584021,0.0182565178609101,-0.0457683386788151,0.0368298866148072,-0.0774130847236189,0.8121002073006562,0.76953125,5,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,observability_proxy,-0.4112842312499939,0.0785031573792612,0.024824878083312,-0.4674420070217504,-0.3551264554782374,-5.2390788470203065,4.7450703710452247e-08,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,qr_pod_modes,-0.3868809590456831,0.0953783634581701,0.0301612868027191,-0.4551105300256652,-0.318651388065701,-4.056275920642698,4.355815657618506e-07,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,random,-0.2430573210232056,0.0502251127599089,0.0158825752060097,-0.2789862022891618,-0.2071284397572493,-4.839358393978968,9.479071085037625e-08,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,scenario_cvar_a_trace,-0.1983794015388168,0.1003771833783279,0.0317420524587911,-0.2701849128703876,-0.1265738902072461,-1.976339590951784,0.0001496818051828,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,swap_from_scenario_cvar,-0.0526976644941268,0.0718038922164286,0.022706384426915,-0.1040630746667223,-0.0013322543215313,-0.7339109742865675,0.045424021780702,0.130859375,7,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.1,validation_swap_selected,top_variance,-0.1403563682215808,0.0819354986592046,0.0259102796984759,-0.1989694930315929,-0.0817432434115686,-1.7130104840804932,0.0004234854226279,0.001953125,10,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_paired_delta_tests.csv,0.2,validation_swap_selected,best_random_by_validation,-0.0948214773042852,0.0823046701436428,0.0260270219722769,-0.1536986914851777,-0.0359442631233927,-1.152078942042989,0.0053741178674706,0.005859375,9,10
