method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.2094978884242023,0.2099968517545467,351,25
gsp,condition_number,0.2098838581236591,0.2131986548431018,351,25
gsp,information_logdet,-0.1947673455668002,-0.1958357134799712,351,25
gls_map,posterior_trace,0.9499559210208328,0.9246818697275736,351,25
gls_map,condition_number,0.8382773142001453,0.8878281116257672,351,25
gls_map,information_logdet,-0.9234148875294188,-0.8922786678689848,351,25
gsp,posterior_trace,-0.220942381394537,-0.3228293797125676,351,26
gsp,condition_number,-0.2210814597957771,-0.3979737736935235,351,26
gsp,information_logdet,0.2085598603232422,0.3127283569978928,351,26
gls_map,posterior_trace,0.9542648858529178,0.9303659359103984,351,26
gls_map,condition_number,0.8472486978854087,0.8884419741338893,351,26
gls_map,information_logdet,-0.9284424015679162,-0.899688796925182,351,26
gsp,posterior_trace,0.0739282213342076,0.0254702560262382,351,27
gsp,condition_number,0.0735633257780119,-0.0238574223993786,351,27
gsp,information_logdet,-0.0887276979816773,-0.0240608303567922,351,27
gls_map,posterior_trace,0.9520158543623408,0.9392209808231806,351,27
gls_map,condition_number,0.8319695904959702,0.9000994978487458,351,27
gls_map,information_logdet,-0.9242065802867214,-0.9005540438709062,351,27
gsp,posterior_trace,0.1554220772795327,0.1068464815210253,351,28
gsp,condition_number,0.1555655004933329,0.0895382125990555,351,28
gsp,information_logdet,-0.1438463175340403,-0.1102281041254491,351,28
gls_map,posterior_trace,0.9462213868551388,0.9295939291743482,351,28
gls_map,condition_number,0.8324159448792718,0.8848339110202574,351,28
gls_map,information_logdet,-0.919686714740093,-0.8995628116418726,351,28
gsp,posterior_trace,0.0449239262864911,-0.0110331488416428,351,29
gsp,condition_number,0.0451489844343825,-0.0173482314189025,351,29
gsp,information_logdet,-0.0407513760226373,0.0015376311710944,351,29
gls_map,posterior_trace,0.949388318490223,0.9336085214903452,351,29
gls_map,condition_number,0.8486817734011778,0.9037744252614404,351,29
gls_map,information_logdet,-0.9150056662399808,-0.8987133681781665,351,29
