method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.657577184528107,7.920769041161779,0.1212392788065607,PeMS7_1026,0.1,103,923,random,0,25,3051,,,,
neighbor_average,7.374538980678946,11.623879132598494,0.2131398617103704,PeMS7_1026,0.1,103,923,random,0,25,3051,,,,
gsp,4.469395089929782,7.594128530313482,0.1192501782362449,PeMS7_1026,0.1,103,923,random,0,25,3051,,20.417451277109706,687.1606083756004,4472.893781833644
gls_map,4.062980289593986,6.969253477699158,0.1104832496106043,PeMS7_1026,0.1,103,923,random,0,25,3051,,1359.1203623247934,11505.530671150918,1225.2395010101336
historical_tod_mean,4.637639283887084,7.868996965634144,0.1195847815159119,PeMS7_1026,0.1,103,923,random,1,25,3051,,,,
neighbor_average,7.6014058800810576,11.63164930299029,0.1982162822580951,PeMS7_1026,0.1,103,923,random,1,25,3051,,,,
gsp,4.526394170028676,7.592164396331294,0.1165125212967451,PeMS7_1026,0.1,103,923,random,1,25,3051,,20.41558303509183,686.3228233494567,4472.87234945205
gls_map,4.015252955522922,6.658627754071264,0.1019911097098952,PeMS7_1026,0.1,103,923,random,1,25,3051,,1374.0341397526847,8823.131376003628,1215.88397509705
historical_tod_mean,4.64269495982304,7.855058209889431,0.1196363306395995,PeMS7_1026,0.1,103,923,random,2,25,3051,,,,
neighbor_average,7.324694283937243,11.387394412195585,0.2049645677937231,PeMS7_1026,0.1,103,923,random,2,25,3051,,,,
gsp,4.509415486227308,7.565035554014997,0.1180986008165831,PeMS7_1026,0.1,103,923,random,2,25,3051,,20.415939227036677,686.7121575514618,4472.959695529704
gls_map,4.067765824709827,6.700750189071949,0.1048659188444347,PeMS7_1026,0.1,103,923,random,2,25,3051,,1367.254815337296,9624.566471087905,1220.270266562576
historical_tod_mean,4.656551665763813,7.881870031726535,0.1204413490641625,PeMS7_1026,0.1,103,923,random,3,25,3051,,,,
neighbor_average,7.429059264776693,11.607481788362753,0.2014564860424462,PeMS7_1026,0.1,103,923,random,3,25,3051,,,,
gsp,4.461022172950033,7.557969744490161,0.1181891100499013,PeMS7_1026,0.1,103,923,random,3,25,3051,,20.41347594262909,687.6170837607187,4472.943798953176
gls_map,3.9968843123460447,6.716132483721236,0.1045099804593095,PeMS7_1026,0.1,103,923,random,3,25,3051,,1345.5108909147489,8686.663942769195,1221.9520941319606
historical_tod_mean,4.636139588599975,7.873400923127041,0.1190038127760383,PeMS7_1026,0.1,103,923,random,4,25,3051,,,,
neighbor_average,7.725017179286546,11.827472452751737,0.2021612967154166,PeMS7_1026,0.1,103,923,random,4,25,3051,,,,
