split_seed,budget,best_layout,mae
25,0.1,swap_from_greedy_a_trace,3.7389329853435846
25,0.2,swap_from_greedy_a_trace,3.3768373491219936
25,0.3,validation_swap_selected,3.1235225773819058
26,0.1,swap_from_greedy_a_trace,3.856430744530417
26,0.2,swap_from_greedy_a_trace,3.42790794055285
26,0.3,validation_swap_selected,3.168167655238107
27,0.1,swap_from_greedy_a_trace,3.45746895372208
27,0.2,swap_from_greedy_a_trace,3.0891663165283485
27,0.3,validation_swap_selected,2.8383660198469745
28,0.1,greedy_a_trace,3.333794052180694
28,0.2,validation_swap_selected,3.026727400274641
28,0.3,greedy_a_trace,2.8124232592321703
29,0.1,swap_from_greedy_a_trace,3.687448113059177
29,0.2,swap_from_greedy_a_trace,3.3311816558345737
29,0.3,validation_swap_selected,3.0310466563841003
