method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.2115385179667735,7.247816479044527,0.10700269997918217,PeMS7_1026,0.1,103,923,random,0,28,3054,,,,
neighbor_average,7.338288303539182,11.392538303580643,0.19272178874946289,PeMS7_1026,0.1,103,923,random,0,28,3054,,,,
gsp,4.035874720471084,6.873410033589836,0.10352642266565389,PeMS7_1026,0.1,103,923,random,0,28,3054,,20.415428961372704,683.2861751100569,4472.896501237268
gls_map,3.529268295515308,5.993966422221667,0.08914459618127529,PeMS7_1026,0.1,103,923,random,0,28,3054,,1362.1545960932074,9422.023508391094,1218.1204223826069
historical_tod_mean,4.2130478907096425,7.241732710042493,0.10683773610826312,PeMS7_1026,0.1,103,923,random,1,28,3054,,,,
neighbor_average,7.375397129930579,11.49027688170913,0.19469447966210135,PeMS7_1026,0.1,103,923,random,1,28,3054,,,,
gsp,4.012290142192716,6.8726728475384595,0.1034283074939998,PeMS7_1026,0.1,103,923,random,1,28,3054,,20.415298911066763,687.8577035640112,4473.01340967267
gls_map,3.566814170545115,5.9864716994224025,0.08948656584368041,PeMS7_1026,0.1,103,923,random,1,28,3054,,1355.8513421044513,9898.972842359266,1219.4629016367958
historical_tod_mean,4.2158371704586495,7.228537477439301,0.10629739226895872,PeMS7_1026,0.1,103,923,random,2,28,3054,,,,
neighbor_average,7.317282236868504,11.633094382033013,0.20112508472904828,PeMS7_1026,0.1,103,923,random,2,28,3054,,,,
gsp,4.028132371614624,6.871870410956485,0.10305282633482098,PeMS7_1026,0.1,103,923,random,2,28,3054,,20.41540382590436,687.602171539397,4472.95289737378
gls_map,3.560935523912864,6.0233678548749285,0.09072070708341978,PeMS7_1026,0.1,103,923,random,2,28,3054,,1354.6679383268615,8880.145746028715,1215.6901461458215
historical_tod_mean,4.205590230754183,7.206327471504553,0.10473264743145994,PeMS7_1026,0.1,103,923,random,3,28,3054,,,,
neighbor_average,7.255568722162033,11.597533316870452,0.1936958559664455,PeMS7_1026,0.1,103,923,random,3,28,3054,,,,
gsp,3.99550059081202,6.811714203177447,0.10111443253142274,PeMS7_1026,0.1,103,923,random,3,28,3054,,20.41605317028437,686.673493420031,4472.918320400509
