budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,coverage,10,0,3.840685455021041,0.28112923270793067,,,1322.1451253308169,4.882518835306028,,,558.466377398465,20.720561041405983,,,9890.374167973694,143.59809807205767,,,0.013371902540435498,1.828559098217032e-18,,,0.20196643207884118,0.06467251218754744,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,degree,10,0,4.307384024918685,0.2963686405428653,,,1713.9336136994414,8.565937898288082,,,740.2356237757715,38.0431311738764,,,25716.34424154084,833.3128181299447,,,0.10533173043972929,1.4628472785736255e-17,,,0.6171299061993382,0.06384374231420055,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,10,0,4.784569613261263,0.4030516476924644,,,1740.6479337598764,7.362233708866896,,,778.1050598003529,44.91536864918964,,,57545.24716762954,1436.4698395629546,,,0.1766427247221294,0.0,,,1.0,0.0,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,10,3,3.6420397310441928,0.2401926499118701,3.6581656791546724,0.4009468955597481,1167.5307766282322,5.71450423574264,1173.139636106255,5.814301144040044,543.1822044796005,14.742081803773264,539.1671148931928,10.677860885773768,7773.468768224018,339.1625527777137,7557.835710620507,139.8015164100242,0.013915272609219282,0.00030522593100218665,0.014120016631738399,0.00045117709243325255,0.03917204805614189,0.03036542232387658,0.012654090927192533,0.02191752840949383
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,10,0,4.365631993177122,0.3676236159853117,,,1355.5611919689047,9.331453040070755,,,553.7380824592412,15.855415353407283,,,35021.848277272,2010.2637849664568,,,0.01929083405291602,0.0003757723941633205,,,0.6357074981265847,0.1734494656963007,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,10,4,3.614038330380476,0.23332341032863232,3.603397843531437,0.2409911413389881,1227.3120802127987,11.425855234668854,1224.015331239087,7.857516987586684,544.5083717481476,9.366623060202185,548.0208289539813,11.347103495208286,7072.472482872783,388.65821655988236,7097.981519854494,478.0290575182179,0.01450315960797074,0.0004493733685202243,0.014337600473176075,0.0004319803184146088,0.01808448718203362,0.024481320139714918,0.0,0.0
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,10,0,4.312100157939597,0.3151340828370076,,,1703.5472872115686,8.565785665516326,,,725.4731577047877,35.10974973533599,,,24399.400177028496,906.090548255787,,,0.0980150871824533,0.0,,,0.6098536950945739,0.06259767666528918,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,10,0,3.9693840296254534,0.24389279022683194,,,1230.0069472544449,9.69247770409049,,,522.0915264489038,7.434081549634832,,,20362.236110429694,1555.0258758710972,,,0.01529419384967641,0.00033798997062315744,,,0.30996471409974424,0.07737527441172465,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,quality_coverage_sample,1000,0,3.7839638245316474,0.23623715642066495,,,1334.2687638583127,15.86983424833169,,,571.3692323688698,16.505229006906426,,,8996.500608376342,922.0902683264745,,,0.01363285675371896,0.0003981553548017662,,,0.15840699997689142,0.052817150867441404,,
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random_validation_pool,1000,0,3.826201332003301,0.24378818644100586,,,1350.339968116893,18.180913883347092,,,579.6536096028346,16.994581870691317,,,9298.04811094135,957.6013440938422,,,0.016907031981356305,0.0012383804777460932,,,0.19474156175394555,0.05375817454266875,,
