method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.2010795935561082,0.201397543624691,360,25
gsp,condition_number,0.2019891916597815,0.2069356600349617,360,25
gsp,information_logdet,-0.154771420045963,-0.1867456608721607,360,25
gls_map,posterior_trace,0.9240148102454736,0.9216939866606292,360,25
gls_map,condition_number,0.7910971657358062,0.8936111685176138,360,25
gls_map,information_logdet,-0.8613319234500826,-0.8765783483876975,360,25
gsp,posterior_trace,-0.2002700996268364,-0.3065290831412985,360,26
gsp,condition_number,-0.2003246831105967,-0.388939022221262,360,26
gsp,information_logdet,0.2007435696379612,0.29798245380521,360,26
gls_map,posterior_trace,0.932658862955023,0.9274283683844418,360,26
gls_map,condition_number,0.8108902221467663,0.8938431938246366,360,26
gls_map,information_logdet,-0.8700656113855253,-0.8839791659673937,360,26
gsp,posterior_trace,0.0806936684717889,0.0353942183900551,360,27
gsp,condition_number,0.0805639057562467,-0.0237824898394803,360,27
gsp,information_logdet,-0.0774873256699507,-0.0338885465933275,360,27
gls_map,posterior_trace,0.925196580995175,0.9357702633935412,360,27
gls_map,condition_number,0.7948440546229238,0.9051568230222208,360,27
gls_map,information_logdet,-0.8602082887447042,-0.8846157456901304,360,27
gsp,posterior_trace,0.151442164721794,0.1006082744304187,360,28
gsp,condition_number,0.1520072811645578,0.0829494243197374,360,28
gsp,information_logdet,-0.1134942134552235,-0.1032618473594994,360,28
gls_map,posterior_trace,0.9161254830103588,0.9257673454149736,360,28
gls_map,condition_number,0.803151837894901,0.8911348364588113,360,28
gls_map,information_logdet,-0.8507676689119192,-0.883013108012404,360,28
gsp,posterior_trace,0.0574660548558527,-7.973322805117842e-05,360,29
gsp,condition_number,0.0580628136018054,-0.0158046690235122,360,29
gsp,information_logdet,-0.0280062869663371,-0.0091150511900184,360,29
gls_map,posterior_trace,0.9216641668307952,0.9304461331313424,360,29
gls_map,condition_number,0.7953229742099641,0.9085230962727286,360,29
gls_map,information_logdet,-0.8481935583816421,-0.8825082015913208,360,29
gsp,posterior_trace,-0.085077351914293,-0.1507340151896963,360,30
gsp,condition_number,-0.084700618783707,-0.1868572874057878,360,30
gsp,information_logdet,0.0956599984231723,0.1294660740858102,360,30
gls_map,posterior_trace,0.914452564373982,0.9315456712632022,360,30
gls_map,condition_number,0.8292925778727898,0.8984257700912649,360,30
gls_map,information_logdet,-0.841481893354871,-0.8839354114473011,360,30
gsp,posterior_trace,-0.2049009886400246,-0.2739112525561248,360,31
gsp,condition_number,-0.2054584600614905,-0.3816213132549659,360,31
gsp,information_logdet,0.1899121607864667,0.248968387193765,360,31
gls_map,posterior_trace,0.9216382218146444,0.9347663964610796,360,31
gls_map,condition_number,0.8122870178527513,0.9071126016936109,360,31
gls_map,information_logdet,-0.8509681313380459,-0.8889964429982726,360,31
gsp,posterior_trace,0.2211948603123049,0.2283349736513866,360,32
gsp,condition_number,0.221314993269802,0.1938706760643838,360,32
gsp,information_logdet,-0.1999611860337761,-0.2362856614854221,360,32
gls_map,posterior_trace,0.923432191177268,0.9312365297480136,360,32
gls_map,condition_number,0.7820338615765736,0.8892497888677255,360,32
gls_map,information_logdet,-0.8635467219068573,-0.8866988403060675,360,32
gsp,posterior_trace,-0.203578328464148,-0.2622887214405581,360,33
gsp,condition_number,-0.2041167796743572,-0.3678794217695605,360,33
gsp,information_logdet,0.2006368741085872,0.2608972481880305,360,33
gls_map,posterior_trace,0.9236122139787484,0.9264481642133914,360,33
gls_map,condition_number,0.8233502815177127,0.9190255160443168,360,33
gls_map,information_logdet,-0.8509782707729097,-0.8787417223738226,360,33
gsp,posterior_trace,-0.2068119854093107,-0.2913086011973618,360,34
gsp,condition_number,-0.2071616491147671,-0.3492453441897425,360,34
gsp,information_logdet,0.1992859848154,0.2814566593907944,360,34
gls_map,posterior_trace,0.9209381694264778,0.9286125169095552,360,34
gls_map,condition_number,0.8041530296028427,0.9044415143193824,360,34
gls_map,information_logdet,-0.8448747775273104,-0.8792018291319276,360,34
