method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.657577184528107,7.920769041161779,0.1212392788065607,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.374538980678946,11.623879132598494,0.2131398617103704,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.469395089929782,7.594128530313482,0.1192501782362449,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.417451277109706,687.1606083756004,4472.893781833644
gls_map,4.062980289593986,6.969253477699158,0.1104832496106043,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1359.1203623247934,11505.530671150918,1225.2395010101336
historical_tod_mean,4.637639283887084,7.868996965634144,0.1195847815159119,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.6014058800810576,11.63164930299029,0.1982162822580951,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.526394170028676,7.592164396331294,0.1165125212967451,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41558303509183,686.3228233494567,4472.87234945205
gls_map,4.015252955522922,6.658627754071264,0.1019911097098952,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1374.0341397526847,8823.131376003628,1215.88397509705
historical_tod_mean,4.64269495982304,7.855058209889431,0.1196363306395995,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.324694283937243,11.387394412195585,0.2049645677937231,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.509415486227308,7.565035554014997,0.1180986008165831,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.415939227036677,686.7121575514618,4472.959695529704
gls_map,4.067765824709827,6.700750189071949,0.1048659188444347,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1367.254815337296,9624.566471087905,1220.270266562576
historical_tod_mean,4.656551665763813,7.881870031726535,0.1204413490641625,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.429059264776693,11.607481788362753,0.2014564860424462,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.461022172950033,7.557969744490161,0.1181891100499013,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41347594262909,687.6170837607187,4472.943798953176
gls_map,3.9968843123460447,6.716132483721236,0.1045099804593095,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1345.5108909147489,8686.663942769195,1221.9520941319606
historical_tod_mean,4.636139588599975,7.873400923127041,0.1190038127760383,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.725017179286546,11.827472452751737,0.2021612967154166,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.4672817379732646,7.581721238867024,0.1162675501103588,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41174169991865,688.2479631346059,4473.030564764967
gls_map,3.961679371967732,6.594567201101838,0.1003274109483954,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1343.7177075632712,9792.986894154945,1223.1025406424214
historical_tod_mean,4.587446797505115,7.797156792542097,0.118271264607672,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.487481880241562,11.665127544247158,0.2019125344268925,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.418514482887825,7.504334327347265,0.114902344449829,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.414376614157057,687.4730812103602,4472.929830404209
gls_map,3.92612825379625,6.546761082508263,0.1001887332443634,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1313.909335357601,9016.916937060996,1230.4593292780178
historical_tod_mean,4.595135804141084,7.7916421120012656,0.1145004742620028,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.69075785732916,11.90119835436568,0.1968948474080424,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.431787420950482,7.482403606849747,0.1122475228309532,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41552982392369,687.5817654988476,4472.980044857282
gls_map,3.918030310706029,6.539466417350895,0.0973652201567107,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1341.9164325321378,11426.57235918544,1222.2491255125972
historical_tod_mean,4.589804428870229,7.793137731327072,0.1182489379324654,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.611691319569842,11.94288458159482,0.1974060936750666,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.468229967191203,7.504868618722743,0.1159597813732824,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41681710064505,687.5379166828047,4472.911425386302
gls_map,3.881804622277695,6.526908106293926,0.1006045531533939,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1337.4517360587242,10179.701401026474,1223.6314545384782
