split_seed,budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,best_layout,mae
25,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.7389329853435846
25,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.3768373491219936
25,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.1235225773819058
26,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.856430744530404
26,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.4279079405528408
26,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.168167655238109
27,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.457468953722074
27,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.08916631652834
27,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.83836601984697
28,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.3337940521806826
28,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.026727400274645
28,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,2.812423259232163
29,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.6874481130591903
29,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.3311816558345795
29,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.031046656384099
30,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.5025393794910817
30,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.140910133773023
30,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.847273611240182
31,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,4.135018165126384
31,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.681098808112755
31,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.3878493933151006
32,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.4547869026374567
32,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.0960637226004155
32,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.8701955506509846
33,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,4.04232349668434
33,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.658773431915415
33,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,3.3592429970141886
34,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_best_random_trace,3.983631243781183
34,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.569544990370407
34,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.298548049353658
