method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,5.137314868108223,9.04294534291784,0.14358526192859583,PeMS7_1026,0.1,103,923,random,0,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.812138670699409,12.19041005149032,0.21266573179415785,PeMS7_1026,0.1,103,923,random,0,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,5.054790200128332,8.436741693966125,0.13622923372962725,PeMS7_1026,0.1,103,923,random,0,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41704630906271,685.15996455206,4472.837990700165
gls_map,4.217852667751255,7.0041355104146135,0.11187115538482027,PeMS7_1026,0.1,103,923,random,0,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1344.9865991173488,10240.269133436212,1217.9770933390107
historical_tod_mean,5.124317518358009,9.002666904080309,0.14320749559975868,PeMS7_1026,0.1,103,923,random,1,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.687436800288913,11.719050294896478,0.21096258541313706,PeMS7_1026,0.1,103,923,random,1,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,5.01824725843054,8.400297777427053,0.1341515613525981,PeMS7_1026,0.1,103,923,random,1,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.412024756920903,686.913700795717,4472.947183569163
gls_map,4.183090338959404,6.936909652949576,0.11049745393455104,PeMS7_1026,0.1,103,923,random,1,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1366.9247272389248,10216.938252383003,1217.473272201937
historical_tod_mean,5.079055230152281,8.945827019349753,0.14229092956046935,PeMS7_1026,0.1,103,923,random,2,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.790490324425186,11.829384266782498,0.21388710051419896,PeMS7_1026,0.1,103,923,random,2,34,3060,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
