method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.657577184528107,7.920769041161779,0.1212392788065607,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.374538980678946,11.623879132598494,0.2131398617103704,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.469395089929783,7.594128530313482,0.119250178236245,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.4174512771097,687.1606083756004,4472.893781833644
gls_map,4.062980289593958,6.969253477699144,0.110483249610604,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1359.1203623247811,11505.53067115054,1225.239501010138
historical_tod_mean,4.637639283887084,7.868996965634144,0.1195847815159119,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.6014058800810576,11.63164930299029,0.1982162822580951,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.526394170028676,7.592164396331293,0.1165125212967451,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41558303509182,686.3228233494567,4472.87234945205
gls_map,4.015252955522919,6.658627754071267,0.1019911097098947,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1374.0341397526822,8823.131376004156,1215.8839750970517
historical_tod_mean,4.64269495982304,7.855058209889431,0.1196363306395995,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.324694283937243,11.387394412195585,0.2049645677937231,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.509415486227309,7.565035554014996,0.1180986008165831,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.415939227036663,686.7121575514618,4472.959695529704
gls_map,4.067765824709824,6.700750189071939,0.1048659188444344,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1367.2548153372954,9624.566471088236,1220.270266562581
historical_tod_mean,4.656551665763813,7.881870031726535,0.1204413490641625,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.429059264776693,11.607481788362753,0.2014564860424462,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.461022172950034,7.557969744490162,0.1181891100499013,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.4134759426291,687.6170837607187,4472.943798953176
gls_map,3.9968843123461,6.7161324837213,0.1045099804593115,PeMS7_1026,0.1,103,923,random,3,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1345.5108909147536,8686.663942770723,1221.9520941319686
historical_tod_mean,4.636139588599975,7.873400923127041,0.1190038127760383,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.725017179286546,11.827472452751737,0.2021612967154166,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.4672817379732646,7.581721238867025,0.1162675501103588,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.411741699918657,688.2479631346059,4473.030564764967
gls_map,3.961679371967736,6.594567201101844,0.1003274109483952,PeMS7_1026,0.1,103,923,random,4,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1343.717707563272,9792.986894155269,1223.1025406424246
historical_tod_mean,4.587446797505115,7.797156792542097,0.118271264607672,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.487481880241562,11.665127544247158,0.2019125344268925,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.418514482887828,7.504334327347262,0.1149023444498291,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41437661415704,687.4730812103602,4472.929830404209
gls_map,3.9261282537962505,6.546761082508266,0.1001887332443638,PeMS7_1026,0.1,103,923,random,5,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1313.9093353575977,9016.91693706274,1230.4593292780237
historical_tod_mean,4.595135804141084,7.7916421120012656,0.1145004742620028,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.69075785732916,11.90119835436568,0.1968948474080424,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.431787420950482,7.482403606849745,0.1122475228309532,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.415529823923684,687.5817654988476,4472.980044857282
gls_map,3.918030310706072,6.539466417350935,0.0973652201567122,PeMS7_1026,0.1,103,923,random,6,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1341.9164325321424,11426.57235918676,1222.2491255126015
historical_tod_mean,4.589804428870229,7.793137731327072,0.1182489379324654,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.611691319569842,11.94288458159482,0.1974060936750666,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.468229967191202,7.504868618722742,0.1159597813732824,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41681710064504,687.5379166828047,4472.911425386302
gls_map,3.881804622277697,6.526908106293933,0.1006045531533941,PeMS7_1026,0.1,103,923,random,7,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1337.451736058717,10179.701401025826,1223.6314545384807
