method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.2573793455777106,0.2774796557544219,651,25
gsp,condition_number,0.2596673443757792,0.2797774099550066,651,25
gsp,information_logdet,-0.2642025909322121,-0.2893259992053462,651,25
gls_map,posterior_trace,0.8345303742404425,0.829307370294085,651,25
gls_map,condition_number,0.8070357807824956,0.8409175358600018,651,25
gls_map,information_logdet,-0.8028702412497258,-0.7988279400612714,651,25
gsp,posterior_trace,-0.0864165520618617,-0.1049847818593996,651,26
gsp,condition_number,-0.0835515104945523,-0.0975047286136861,651,26
gsp,information_logdet,0.0768246192751815,0.0642473614789066,651,26
gls_map,posterior_trace,0.8408162810129883,0.8426448633172774,651,26
gls_map,condition_number,0.8318101008095912,0.8442768393477029,651,26
gls_map,information_logdet,-0.7881287021499035,-0.7978285249933056,651,26
gsp,posterior_trace,0.1237615946380403,0.151060071170879,651,27
gsp,condition_number,0.1262874985147462,0.1404647745903912,651,27
gsp,information_logdet,-0.1382029675890228,-0.1721470592264978,651,27
gls_map,posterior_trace,0.8586044327698727,0.85115230233205,651,27
gls_map,condition_number,0.8305652212902409,0.8521884403756316,651,27
gls_map,information_logdet,-0.8158167417666773,-0.8049165015487485,651,27
gsp,posterior_trace,0.2322707970147379,0.2499504918089116,651,28
gsp,condition_number,0.2354746407115664,0.2503406855117481,651,28
gsp,information_logdet,-0.2350181153517121,-0.2643699998412432,651,28
gls_map,posterior_trace,0.8684223038841318,0.8509035108951729,651,28
gls_map,condition_number,0.8406192993295768,0.8625302045635395,651,28
gls_map,information_logdet,-0.8351347644966612,-0.8157130495240669,651,28
gsp,posterior_trace,0.1923541261259105,0.1987656900617307,651,29
gsp,condition_number,0.195528335734987,0.2001767549995115,651,29
gsp,information_logdet,-0.1985202755565343,-0.2347583717662443,651,29
gls_map,posterior_trace,0.8725729640252639,0.8558786934761756,651,29
gls_map,condition_number,0.8353373656831586,0.8639103505323311,651,29
gls_map,information_logdet,-0.837977435655378,-0.8233703095965725,651,29
gsp,posterior_trace,0.0621253895601132,0.0757859401040257,651,30
gsp,condition_number,0.0642471606646713,0.059640288894709,651,30
gsp,information_logdet,-0.0713918593630105,-0.0944217674766038,651,30
gls_map,posterior_trace,0.8685673204447317,0.8482045554539489,651,30
gls_map,condition_number,0.8310928009931834,0.8532662434442967,651,30
gls_map,information_logdet,-0.8247456900064709,-0.808017125898191,651,30
gsp,posterior_trace,0.1562975691883006,0.151549532338459,651,31
gsp,condition_number,0.1568637884767482,0.1622147246984834,651,31
gsp,information_logdet,-0.1648633922686991,-0.1708345210187756,651,31
gls_map,posterior_trace,0.8582503482906252,0.8532983555213309,651,31
gls_map,condition_number,0.8066015124538195,0.8643119863552695,651,31
gls_map,information_logdet,-0.819620951558253,-0.8161882879568447,651,31
gsp,posterior_trace,0.2797513473082656,0.2782015145787321,651,32
gsp,condition_number,0.2801949173175176,0.2844709281666718,651,32
gsp,information_logdet,-0.2883630524941361,-0.3248301177512012,651,32
gls_map,posterior_trace,0.8697607798818626,0.8625337741436155,651,32
gls_map,condition_number,0.8392696040948033,0.8683382261227481,651,32
gls_map,information_logdet,-0.8360158124929011,-0.8304660374577683,651,32
gsp,posterior_trace,0.0616052449635431,0.0250477292432486,651,33
gsp,condition_number,0.0657735746800331,0.0694629576098555,651,33
gsp,information_logdet,-0.0684787715299879,-0.1097807825673413,651,33
gls_map,posterior_trace,0.8557528391043264,0.85312441580772,651,33
gls_map,condition_number,0.8472245359779044,0.872473560039156,651,33
gls_map,information_logdet,-0.8098125849342491,-0.8108099961611309,651,33
gsp,posterior_trace,-0.0369101153019835,-0.062480028997249,651,34
gsp,condition_number,-0.0345067931288047,-0.0154701071562481,651,34
gsp,information_logdet,0.0337297354060293,0.0045095837217165,651,34
gls_map,posterior_trace,0.8852158214696457,0.8660540917348336,651,34
gls_map,condition_number,0.8575884104879562,0.8702176074603327,651,34
gls_map,information_logdet,-0.8390098472794969,-0.8242707035075437,651,34
