method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.963662940379405,6.861086246130253,0.0913173411277496,PeMS7_228,0.1,23,205,random,0,25,2026,,,,
neighbor_average,7.845986901535682,12.05803545843944,0.1816995374433431,PeMS7_228,0.1,23,205,random,0,25,2026,,,,
gsp,3.759396426261756,6.531035814038595,0.0896226565534872,PeMS7_228,0.1,23,205,random,0,25,2026,,19.21600744743309,161.6633347321904,661.254288376412
gls_map,3.6657329061684543,6.240577504073108,0.0879945584221468,PeMS7_228,0.1,23,205,random,0,25,2026,,376.2242483878355,1668.7204335150177,110.69047775675352
historical_tod_mean,3.964162601626016,6.847638334087695,0.0921986524623137,PeMS7_228,0.1,23,205,random,1,25,2026,,,,
neighbor_average,7.278091124661246,11.388580505937904,0.1878869652222687,PeMS7_228,0.1,23,205,random,1,25,2026,,,,
gsp,3.800816799441308,6.53714475679502,0.0906753512664157,PeMS7_228,0.1,23,205,random,1,25,2026,,19.21482007855433,161.64249249149069,661.2410696051451
gls_map,3.717156206814848,6.314791000421484,0.0883149117029655,PeMS7_228,0.1,23,205,random,1,25,2026,,374.51386955328246,1827.4002928410864,110.04295839018164
historical_tod_mean,4.014567030826559,6.880920723475338,0.0929813916407715,PeMS7_228,0.1,23,205,random,2,25,2026,,,,
neighbor_average,7.334690605239385,10.98573100096505,0.177965416250573,PeMS7_228,0.1,23,205,random,2,25,2026,,,,
gsp,3.800199915372385,6.52403625687124,0.0918126366096777,PeMS7_228,0.1,23,205,random,2,25,2026,,19.219616447338723,157.1805255092368,661.3412588891111
gls_map,3.722663810972135,6.220667561698524,0.0882469184034824,PeMS7_228,0.1,23,205,random,2,25,2026,,378.5979599507757,1696.287998869894,109.54030353211024
historical_tod_mean,3.951189998306233,6.810707950491034,0.0918645184302267,PeMS7_228,0.1,23,205,random,3,25,2026,,,,
neighbor_average,7.272226174345076,11.159449085838776,0.1868979716689582,PeMS7_228,0.1,23,205,random,3,25,2026,,,,
gsp,3.7180366129900286,6.509551478841607,0.0922882336044843,PeMS7_228,0.1,23,205,random,3,25,2026,,19.21494150776166,161.72565376551506,661.2497596282138
gls_map,3.72465686961464,6.449366165017889,0.0938028705288437,PeMS7_228,0.1,23,205,random,3,25,2026,,381.60480718322094,1784.8511439532017,110.88086471318938
historical_tod_mean,3.92186195799458,6.795912591248912,0.0900463349300475,PeMS7_228,0.1,23,205,random,4,25,2026,,,,
neighbor_average,8.069775575880758,12.507621524356749,0.1839031570020018,PeMS7_228,0.1,23,205,random,4,25,2026,,,,
gsp,3.735142315655065,6.514049893742443,0.088428736767858,PeMS7_228,0.1,23,205,random,4,25,2026,,19.22032593777326,156.6275219360895,661.3035164266824
gls_map,3.7445527320706273,6.293162410897406,0.0872167693641074,PeMS7_228,0.1,23,205,random,4,25,2026,,394.42727064804114,2080.851408566955,109.72974342184608
historical_tod_mean,3.969745003387534,6.834999775517022,0.0917694777864468,PeMS7_228,0.1,23,205,random,5,25,2026,,,,
neighbor_average,7.516740627822944,11.388196687272998,0.1877808798046712,PeMS7_228,0.1,23,205,random,5,25,2026,,,,
gsp,3.7144571045295054,6.491465548725929,0.089631604675125,PeMS7_228,0.1,23,205,random,5,25,2026,,19.21685715109446,161.90503444067463,661.2838848102369
gls_map,3.634417983244069,6.266749242947577,0.0889739056160862,PeMS7_228,0.1,23,205,random,5,25,2026,,375.0496003859317,1720.9303773247814,110.82097789938372
historical_tod_mean,3.891331554878049,6.741231232616926,0.0893142217786613,PeMS7_228,0.1,23,205,random,6,25,2026,,,,
neighbor_average,7.2726953477868115,11.175078550428651,0.1839714199733723,PeMS7_228,0.1,23,205,random,6,25,2026,,,,
gsp,3.768564292909677,6.440625280215551,0.0875731230269953,PeMS7_228,0.1,23,205,random,6,25,2026,,19.21528461624527,161.07999625212247,661.2269037273044
gls_map,3.644686049762469,6.124198844850608,0.0851749809087102,PeMS7_228,0.1,23,205,random,6,25,2026,,377.8599537603256,1930.8039886608371,113.49467345479682
historical_tod_mean,3.9459697239159897,6.813091342331499,0.0913746638197023,PeMS7_228,0.1,23,205,random,7,25,2026,,,,
neighbor_average,7.507179595754291,11.813458399405596,0.184294867807288,PeMS7_228,0.1,23,205,random,7,25,2026,,,,
gsp,3.7372369400590872,6.453445686212444,0.0893018121332319,PeMS7_228,0.1,23,205,random,7,25,2026,,19.216508998730312,157.92525672415013,661.2589903890878
gls_map,3.631603830214399,6.186061142906713,0.0850944295273246,PeMS7_228,0.1,23,205,random,7,25,2026,,381.267145162,1831.0063435925904,111.63404522718076
historical_tod_mean,3.947342098577236,6.802286894543694,0.0902772829874068,PeMS7_228,0.1,23,205,random,8,25,2026,,,,
neighbor_average,7.476282181571815,11.776931713999447,0.1906419826837534,PeMS7_228,0.1,23,205,random,8,25,2026,,,,
gsp,3.791975879644984,6.521097723673826,0.0873891564616948,PeMS7_228,0.1,23,205,random,8,25,2026,,19.21554172550651,159.82769006926253,661.2436634299186
gls_map,3.69363366425906,6.245116522231974,0.0847800849859119,PeMS7_228,0.1,23,205,random,8,25,2026,,369.1946729731925,1754.8943949880547,112.36493067262376
historical_tod_mean,4.057579564701898,6.950460540793274,0.0929242867228171,PeMS7_228,0.1,23,205,random,9,25,2026,,,,
neighbor_average,7.234657294489612,11.476024417171525,0.1875330627936972,PeMS7_228,0.1,23,205,random,9,25,2026,,,,
gsp,3.91663173027994,6.678232410037935,0.0914324874062142,PeMS7_228,0.1,23,205,random,9,25,2026,,19.219105353475477,158.09794987921617,661.2918658674585
gls_map,3.751820394351218,6.5015468529630365,0.0887198860218031,PeMS7_228,0.1,23,205,random,9,25,2026,,382.5012426841753,1897.3117318761408,110.4750418945624
historical_tod_mean,3.919701177168021,6.750500181410954,0.0895801822156939,PeMS7_228,0.1,23,205,random,10,25,2026,,,,
neighbor_average,7.686982554200541,12.173950453408729,0.1867628854154835,PeMS7_228,0.1,23,205,random,10,25,2026,,,,
gsp,3.678930641101589,6.4119452457601565,0.0861552623944611,PeMS7_228,0.1,23,205,random,10,25,2026,,19.22482866754332,161.5405893372637,661.3536651852646
gls_map,3.5996221254235885,6.126954789518385,0.0834360958734072,PeMS7_228,0.1,23,205,random,10,25,2026,,371.15958933688734,1692.8239207760378,112.03246260420391
historical_tod_mean,3.929967225609756,6.731922899601044,0.0908210565006257,PeMS7_228,0.1,23,205,random,11,25,2026,,,,
neighbor_average,7.58742801490515,11.740161197623133,0.1828403921069536,PeMS7_228,0.1,23,205,random,11,25,2026,,,,
gsp,3.743267991585584,6.432326366634661,0.0888512416577709,PeMS7_228,0.1,23,205,random,11,25,2026,,19.2160320367172,155.32444520064757,661.2576760415395
gls_map,3.5531932737489496,6.054115761571678,0.0843272174673657,PeMS7_228,0.1,23,205,random,11,25,2026,,374.1532782767504,1666.3975498406226,111.09194563350712
historical_tod_mean,3.932281588753387,6.8230060024561645,0.0915135023862806,PeMS7_228,0.1,23,205,random,12,25,2026,,,,
neighbor_average,7.483165368112015,11.327791996190523,0.1852259893710684,PeMS7_228,0.1,23,205,random,12,25,2026,,,,
gsp,3.748118756047211,6.501295886111576,0.0903770902345301,PeMS7_228,0.1,23,205,random,12,25,2026,,19.21695597703949,158.3238809734257,661.2490633604361
gls_map,3.6695236831918665,6.279899741898452,0.0889460356974126,PeMS7_228,0.1,23,205,random,12,25,2026,,376.81358819373145,1755.83756937761,111.59615597899008
historical_tod_mean,4.038301532859078,6.954746994958831,0.0935199140964743,PeMS7_228,0.1,23,205,random,13,25,2026,,,,
neighbor_average,7.487957317073172,11.562495620416335,0.1937368362573441,PeMS7_228,0.1,23,205,random,13,25,2026,,,,
gsp,3.8403821123928745,6.630690264777046,0.0914178523214392,PeMS7_228,0.1,23,205,random,13,25,2026,,19.21656998977205,161.23745539545467,661.2800717817325
gls_map,3.762513146309204,6.344540112404115,0.0902182368941864,PeMS7_228,0.1,23,205,random,13,25,2026,,366.64738770671545,1788.209082838534,112.62873281547289
historical_tod_mean,4.017916370257452,6.922791857936824,0.0935663655014697,PeMS7_228,0.1,23,205,random,14,25,2026,,,,
neighbor_average,7.181993845980127,11.152078824109063,0.1845953831862595,PeMS7_228,0.1,23,205,random,14,25,2026,,,,
gsp,3.810012432611518,6.620880246106951,0.0911527546847369,PeMS7_228,0.1,23,205,random,14,25,2026,,19.21722322360798,160.04132295851832,661.2881335522674
gls_map,3.641853808106077,6.260487536641338,0.0881988093753699,PeMS7_228,0.1,23,205,random,14,25,2026,,375.8833450434096,2219.3908591272143,112.17246096432972
historical_tod_mean,3.923397569444444,6.804908540233171,0.0904507535921142,PeMS7_228,0.1,23,205,random,15,25,2026,,,,
neighbor_average,7.181485998193316,10.835510877497311,0.1761641715496075,PeMS7_228,0.1,23,205,random,15,25,2026,,,,
gsp,3.682471317282385,6.438349282484111,0.0884778206002015,PeMS7_228,0.1,23,205,random,15,25,2026,,19.219555184737477,158.5779471525484,661.3208178197362
gls_map,3.491474276256491,5.96808219950611,0.082229665615499,PeMS7_228,0.1,23,205,random,15,25,2026,,371.2310925138311,1756.2441189075378,109.33706122882712
historical_tod_mean,3.9838537855691056,6.865021012492896,0.0917491777436485,PeMS7_228,0.1,23,205,random,16,25,2026,,,,
neighbor_average,7.434738313008129,11.218736186381136,0.1849589500032016,PeMS7_228,0.1,23,205,random,16,25,2026,,,,
gsp,3.817974796405703,6.55329357629011,0.090845560934204,PeMS7_228,0.1,23,205,random,16,25,2026,,19.213989416738443,159.88846138055618,661.2219382108758
gls_map,3.636353981468435,6.2241300541956885,0.0881726338810659,PeMS7_228,0.1,23,205,random,16,25,2026,,373.4370387770561,1639.9262644379692,108.91760520550234
historical_tod_mean,4.006698594173441,6.919031244689217,0.0927252283674332,PeMS7_228,0.1,23,205,random,17,25,2026,,,,
neighbor_average,7.184769365401987,11.161682790024718,0.1845365450515795,PeMS7_228,0.1,23,205,random,17,25,2026,,,,
gsp,3.78636139694668,6.587732421793785,0.090454575992346,PeMS7_228,0.1,23,205,random,17,25,2026,,19.215654963590445,161.06186518437644,661.2274642542626
gls_map,3.680405169712679,6.346206342093471,0.0888515342301227,PeMS7_228,0.1,23,205,random,17,25,2026,,377.9873321321349,1830.6629730243692,113.00979220931886
historical_tod_mean,3.992727261178862,6.885013465372485,0.0922945875137963,PeMS7_228,0.1,23,205,random,18,25,2026,,,,
neighbor_average,7.863303410117434,12.445841014538509,0.1871421316335929,PeMS7_228,0.1,23,205,random,18,25,2026,,,,
gsp,3.7595236593715966,6.518597714675736,0.0893026224418954,PeMS7_228,0.1,23,205,random,18,25,2026,,19.216288972319525,161.08991972067182,661.2674651687938
gls_map,3.6017976973319663,6.186382373953276,0.0864919901194249,PeMS7_228,0.1,23,205,random,18,25,2026,,375.44854473397606,1538.3516282376925,109.54798782617128
historical_tod_mean,3.9624768377371264,6.85420065455408,0.092609406162731,PeMS7_228,0.1,23,205,random,19,25,2026,,,,
neighbor_average,7.316500677506775,11.622331431623522,0.1899385653999493,PeMS7_228,0.1,23,205,random,19,25,2026,,,,
gsp,3.704514893143348,6.519937667926194,0.0906607442613044,PeMS7_228,0.1,23,205,random,19,25,2026,,19.218013582187083,158.74679917107505,661.2346241079
gls_map,3.640474541861773,6.367043877125832,0.0905697602001649,PeMS7_228,0.1,23,205,random,19,25,2026,,376.8367960221748,1794.481494742518,110.445176116477
historical_tod_mean,3.956058307926828,6.790130238569578,0.0908896694182629,PeMS7_228,0.1,23,205,random,20,25,2026,,,,
neighbor_average,7.494278737579043,11.881784898645169,0.190890393055938,PeMS7_228,0.1,23,205,random,20,25,2026,,,,
gsp,3.843558629058714,6.50554124983737,0.0891297716243341,PeMS7_228,0.1,23,205,random,20,25,2026,,19.2205537079084,162.09132737015403,661.3496438426931
gls_map,3.7806626471536906,6.426899244829522,0.0881774453133059,PeMS7_228,0.1,23,205,random,20,25,2026,,384.2757696259145,2223.544586776489,112.07927861934628
historical_tod_mean,4.067405572493225,6.993645435273242,0.0949379168708771,PeMS7_228,0.1,23,205,random,21,25,2026,,,,
neighbor_average,7.209775293586269,11.460544257420862,0.1970717351182835,PeMS7_228,0.1,23,205,random,21,25,2026,,,,
gsp,3.891203638793749,6.692031246122687,0.0934624994390399,PeMS7_228,0.1,23,205,random,21,25,2026,,19.219137136184973,158.9823864266257,661.3094869598218
gls_map,3.7389179610161625,6.517087620106476,0.0906016317331119,PeMS7_228,0.1,23,205,random,21,25,2026,,370.9905627048214,1660.2507855846372,112.0572261816123
historical_tod_mean,3.9810362466124656,6.8745090033774,0.0927235231728153,PeMS7_228,0.1,23,205,random,22,25,2026,,,,
neighbor_average,7.492197098012645,11.651695252148766,0.1937434289949603,PeMS7_228,0.1,23,205,random,22,25,2026,,,,
gsp,3.7617681836525887,6.532271278484847,0.0912977284355474,PeMS7_228,0.1,23,205,random,22,25,2026,,19.215312617896156,160.39687565298684,661.2485976885058
gls_map,3.7742018188808752,6.374617838956043,0.0916402420521479,PeMS7_228,0.1,23,205,random,22,25,2026,,371.1025203126232,1764.441088316008,111.24418703017372
historical_tod_mean,4.010676744579945,6.90079658817009,0.0918151278079358,PeMS7_228,0.1,23,205,random,23,25,2026,,,,
neighbor_average,7.017280657181573,11.187542683265956,0.1839836047433992,PeMS7_228,0.1,23,205,random,23,25,2026,,,,
gsp,3.797524549729935,6.554826085467455,0.0890449116649901,PeMS7_228,0.1,23,205,random,23,25,2026,,19.219368811057244,161.2792309872305,661.3043866425571
gls_map,3.6834305026344194,6.305046969879391,0.0870857728822219,PeMS7_228,0.1,23,205,random,23,25,2026,,373.54073154253257,1679.8268124468634,111.54626721223492
historical_tod_mean,4.035155614837398,6.9275200633768765,0.0924350123548317,PeMS7_228,0.1,23,205,random,24,25,2026,,,,
neighbor_average,7.828812669376692,12.167625916572586,0.1979980237983929,PeMS7_228,0.1,23,205,random,24,25,2026,,,,
