split_seed,budget,best_layout,mae
25,0.1,swap_from_scenario_average,3.398187176024214
25,0.2,top_variance,3.208908806354434
25,0.3,validation_swap_selected,2.863037060859235
26,0.1,scenario_cvar_a_trace,3.762638564117853
26,0.2,random,3.547023485723807
26,0.3,validation_swap_selected,3.30252814575265
27,0.1,multistart_swap_by_validation,3.312116412353792
27,0.2,multistart_swap_by_validation,3.1299938615660627
27,0.3,validation_swap_selected,2.94098047110614
28,0.1,swap_from_greedy_a_trace,3.252683606442927
28,0.2,top_variance,3.015254196531908
28,0.3,validation_swap_selected,2.850774271754064
29,0.1,validation_swap_selected,3.439544195802368
29,0.2,validation_swap_selected,3.188858370645141
29,0.3,validation_swap_selected,3.0280412602261446
30,0.1,swap_from_scenario_cvar,3.4075562793750684
30,0.2,validation_swap_selected,3.0236054324764643
30,0.3,validation_swap_selected,2.886289653703076
31,0.1,validation_swap_selected,3.892605036523508
31,0.2,validation_swap_selected,3.6498539794146745
31,0.3,rcss_selected,3.383035128239047
32,0.1,multistart_swap_by_validation,3.269154393749443
32,0.2,validation_swap_selected,2.978498220672672
32,0.3,validation_swap_selected,2.7383478034398325
33,0.1,random,4.0182283593709744
33,0.2,random,3.736591242384229
33,0.3,validation_swap_selected,3.4175827589757577
34,0.1,swap_from_scenario_average,3.7748609156621584
34,0.2,validation_swap_selected,3.4983237377740566
34,0.3,validation_swap_selected,3.2493205092533137
