method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.0100856199187,6.909361938746375,0.0935500241096595,PeMS7_228,0.1,23,205,random,0,25,2051,,,,
neighbor_average,7.393903003613369,11.78444616472128,0.1863333218244705,PeMS7_228,0.1,23,205,random,0,25,2051,,,,
gsp,3.742645482120589,6.595629826155825,0.0918434198461823,PeMS7_228,0.1,23,205,random,0,25,2051,,19.215242920831106,160.9586066284703,661.2266988625513
gls_map,3.6819487373734288,6.44034122448861,0.0909559569853142,PeMS7_228,0.1,23,205,random,0,25,2051,,383.0894097230854,2282.5887535911097,109.48820100709143
historical_tod_mean,4.034253599254742,6.9627425221359776,0.0940024376194623,PeMS7_228,0.1,23,205,random,1,25,2051,,,,
neighbor_average,7.533555781391145,11.888011435371936,0.2031837943682762,PeMS7_228,0.1,23,205,random,1,25,2051,,,,
gsp,3.873880194305317,6.683038088101196,0.0934319174815523,PeMS7_228,0.1,23,205,random,1,25,2051,,19.21714983093853,162.18116391083117,661.3000121806261
gls_map,3.849344618603626,6.575919839953595,0.0949831509931503,PeMS7_228,0.1,23,205,random,1,25,2051,,376.36852982071366,1930.6567335264133,112.29410096711868
historical_tod_mean,3.924295011856368,6.764421974850206,0.0900334843664745,PeMS7_228,0.1,23,205,random,2,25,2051,,,,
neighbor_average,7.463231425022582,11.338169024633132,0.1826863821146263,PeMS7_228,0.1,23,205,random,2,25,2051,,,,
gsp,3.730706814404336,6.427735171328933,0.0869262616415871,PeMS7_228,0.1,23,205,random,2,25,2051,,19.215882087827094,159.80327163180857,661.2325666151286
gls_map,3.571965812237468,6.026393391940265,0.0837705670629156,PeMS7_228,0.1,23,205,random,2,25,2051,,366.109011520776,1390.9477803108969,111.29149045274092
historical_tod_mean,3.929850355691056,6.801611393848535,0.0898334913814601,PeMS7_228,0.1,23,205,random,3,25,2051,,,,
neighbor_average,7.6299319670280035,11.466245960148592,0.1801318688613754,PeMS7_228,0.1,23,205,random,3,25,2051,,,,
gsp,3.7299218503453617,6.486952509956691,0.0874470282242568,PeMS7_228,0.1,23,205,random,3,25,2051,,19.22122472050443,155.58878117890978,661.31757177907
gls_map,3.53368573328689,5.980695344975984,0.0805747979351785,PeMS7_228,0.1,23,205,random,3,25,2051,,384.2336886994116,1884.9589351990144,109.31826495316209
historical_tod_mean,4.004026041666667,6.895371596749051,0.0927379287837443,PeMS7_228,0.1,23,205,random,4,25,2051,,,,
neighbor_average,7.393650632339657,11.685145661921345,0.1842760610387876,PeMS7_228,0.1,23,205,random,4,25,2051,,,,
gsp,3.793240622558868,6.553723813699284,0.0894205554954712,PeMS7_228,0.1,23,205,random,4,25,2051,,19.214821794711284,161.95261242534846,661.2129296927681
gls_map,3.6442793994634775,6.245102470160693,0.0856938517485069,PeMS7_228,0.1,23,205,random,4,25,2051,,377.3087155077443,1821.2362427968944,109.84546625620165
historical_tod_mean,3.989445291327913,6.88705082987781,0.0927360968010579,PeMS7_228,0.1,23,205,random,5,25,2051,,,,
neighbor_average,7.450685693315266,11.595043613016715,0.1957718588933692,PeMS7_228,0.1,23,205,random,5,25,2051,,,,
gsp,3.761243302725728,6.567834739694863,0.0917580683830517,PeMS7_228,0.1,23,205,random,5,25,2051,,19.21396898205724,161.52364894228054,661.210735857478
gls_map,3.754596119466163,6.328129559819988,0.0904578594135012,PeMS7_228,0.1,23,205,random,5,25,2051,,369.01008869452295,1733.918957227448,111.58071196012337
historical_tod_mean,3.986829903455284,6.8719683364921496,0.0925581221623208,PeMS7_228,0.1,23,205,random,6,25,2051,,,,
neighbor_average,7.318719229900631,11.2857814812423,0.1799534620917173,PeMS7_228,0.1,23,205,random,6,25,2051,,,,
gsp,3.762616355410208,6.534773906438188,0.0900707532003717,PeMS7_228,0.1,23,205,random,6,25,2051,,19.216619317186165,156.64764035495958,661.2686878814173
gls_map,3.64907250056114,6.269572836613537,0.0868279033854042,PeMS7_228,0.1,23,205,random,6,25,2051,,381.952022029422,2030.9867206465144,109.8769212127394
historical_tod_mean,3.9701609925474255,6.866019345139039,0.0921539435677525,PeMS7_228,0.1,23,205,random,7,25,2051,,,,
neighbor_average,7.402510727190605,11.456787350744564,0.1898566460705466,PeMS7_228,0.1,23,205,random,7,25,2051,,,,
gsp,3.7542677081842055,6.555978268351888,0.0900251017596495,PeMS7_228,0.1,23,205,random,7,25,2051,,19.217222102355983,161.77976040245582,661.2811631222191
gls_map,3.61671163851064,6.268113353245806,0.0873493911189653,PeMS7_228,0.1,23,205,random,7,25,2051,,373.8048920687016,1658.8483309100184,111.874995822634
historical_tod_mean,3.956550770663956,6.803142640330266,0.0919779376369217,PeMS7_228,0.1,23,205,random,8,25,2051,,,,
neighbor_average,7.410626693766937,11.261170192254268,0.183319377730855,PeMS7_228,0.1,23,205,random,8,25,2051,,,,
gsp,3.708112760832376,6.469184840616668,0.0901682187167867,PeMS7_228,0.1,23,205,random,8,25,2051,,19.21455043360157,160.03457531948985,661.2488562854045
gls_map,3.4817103106840888,6.049573149937254,0.0849186185896858,PeMS7_228,0.1,23,205,random,8,25,2051,,367.64718560806045,1490.1826316140327,110.20325430684407
historical_tod_mean,3.980722052845528,6.821400024742172,0.0934610826835123,PeMS7_228,0.1,23,205,random,9,25,2051,,,,
neighbor_average,7.087178748870822,11.12761485362534,0.1876785846823433,PeMS7_228,0.1,23,205,random,9,25,2051,,,,
gsp,3.7268836334584368,6.520568958991245,0.0939546862535002,PeMS7_228,0.1,23,205,random,9,25,2051,,19.214637856657895,162.05650592961754,661.2267592496744
gls_map,3.61769902276622,6.315935153752097,0.0910818809049799,PeMS7_228,0.1,23,205,random,9,25,2051,,385.3347917035484,2440.2456323554434,110.02211743954396
