split_seed,budget,best_layout,mae
25,0.1,multistart_swap_by_validation,3.367998522483839
25,0.2,top_variance,3.208908806354434
25,0.3,top_variance,2.924421649175394
26,0.1,validation_swap_selected,3.704001354824414
26,0.2,multistart_swap_by_validation,3.5423607098035537
26,0.3,validation_swap_selected,3.240574502869313
27,0.1,swap_from_greedy_a_trace,3.313481702420176
27,0.2,multistart_swap_by_validation,3.142042963465843
27,0.3,validation_swap_selected,3.004867173649866
28,0.1,validation_swap_selected,3.205677809680892
28,0.2,validation_swap_selected,2.948697449750145
28,0.3,validation_swap_selected,2.826151752000352
29,0.1,validation_swap_selected,3.5173077511786195
29,0.2,random,3.3398243563352907
29,0.3,random,3.0767439914011976
30,0.1,swap_from_scenario_average,3.4075562793750684
30,0.2,validation_swap_selected,3.1176296020995253
30,0.3,validation_swap_selected,2.9000517210525385
31,0.1,swap_from_greedy_a_trace,3.97406104509388
31,0.2,robust_coverage_cvar,3.776268293322264
31,0.3,validation_swap_selected,3.3976518002652614
32,0.1,multistart_swap_by_validation,3.276636877554912
32,0.2,validation_swap_selected,2.9685362786968024
32,0.3,validation_swap_selected,2.6911715522206143
33,0.1,robust_coverage_cvar,4.066759717311773
33,0.2,validation_swap_selected,3.7000114550805
33,0.3,validation_swap_selected,3.4045250229441284
34,0.1,swap_from_scenario_cvar,3.759644445702802
34,0.2,validation_swap_selected,3.545567256205604
34,0.3,validation_swap_selected,3.2372627651522383
