method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.666174076897019,6.5118314268909865,0.08772576803509073,PeMS7_228,0.1,23,205,random,0,32,2058,,,,
neighbor_average,7.334097222222222,11.482040881191384,0.19297908469788497,PeMS7_228,0.1,23,205,random,0,32,2058,,,,
gsp,3.5727639036702437,6.290247459732571,0.08733735157377213,PeMS7_228,0.1,23,205,random,0,32,2058,,19.214720876947986,160.11051380940216,661.2474400670818
gls_map,3.5363542435584407,6.0742834140372155,0.08744947779658664,PeMS7_228,0.1,23,205,random,0,32,2058,,382.58505344432535,2003.7393951694698,110.8774330197311
historical_tod_mean,3.620553946476964,6.455108364775535,0.08595326855684937,PeMS7_228,0.1,23,205,random,1,32,2058,,,,
neighbor_average,7.826477811653114,12.146298713854186,0.17766017262650988,PeMS7_228,0.1,23,205,random,1,32,2058,,,,
gsp,3.508169847521364,6.152608173778786,0.08462954371326496,PeMS7_228,0.1,23,205,random,1,32,2058,,19.215638938493182,160.01736910907363,661.2388199502913
gls_map,3.366109096807897,5.861604283961335,0.08232234824644367,PeMS7_228,0.1,23,205,random,1,32,2058,,392.2322446731832,2556.7662045946413,107.96754429061862
historical_tod_mean,3.666263507791328,6.488750217275936,0.08753800824914121,PeMS7_228,0.1,23,205,random,2,32,2058,,,,
neighbor_average,7.227523995031617,11.286639150924014,0.1740389232324247,PeMS7_228,0.1,23,205,random,2,32,2058,,,,
gsp,3.6310748189418636,6.264875427058187,0.087389127271388,PeMS7_228,0.1,23,205,random,2,32,2058,,19.215615831806915,157.845803538387,661.2351727033822
gls_map,3.58444229603786,6.031335106700115,0.08538707280097449,PeMS7_228,0.1,23,205,random,2,32,2058,,382.5990648488123,1879.8784162401878,109.44727634999157
historical_tod_mean,3.6031289803523032,6.383291137352177,0.08524537211918161,PeMS7_228,0.1,23,205,random,3,32,2058,,,,
neighbor_average,7.410834180216802,11.445424516750743,0.17747083967637275,PeMS7_228,0.1,23,205,random,3,32,2058,,,,
gsp,3.5348849553305484,6.103408315667225,0.08499978647575297,PeMS7_228,0.1,23,205,random,3,32,2058,,19.215571731277706,162.0554538550776,661.2688065833588
gls_map,3.3568094559267556,5.834598717365119,0.08171884527853852,PeMS7_228,0.1,23,205,random,3,32,2058,,378.0564866955458,2034.8215908132258,109.48518504630643
historical_tod_mean,3.565089557926829,6.333955331549529,0.08371075014960531,PeMS7_228,0.1,23,205,random,4,32,2058,,,,
neighbor_average,7.3070762759710925,11.099142198941259,0.16847488432262844,PeMS7_228,0.1,23,205,random,4,32,2058,,,,
gsp,3.5775434366980723,6.12948998711967,0.08263626498960157,PeMS7_228,0.1,23,205,random,4,32,2058,,19.215264962168888,161.64672659669503,661.2209020449569
gls_map,3.3773745664447534,5.872587777247185,0.08033676066472795,PeMS7_228,0.1,23,205,random,4,32,2058,,380.92904073962086,1756.18212528666,110.53581274758326
historical_tod_mean,3.702137703252032,6.5694278179138745,0.0897193050157817,PeMS7_228,0.1,23,205,random,5,32,2058,,,,
neighbor_average,7.080889792231256,11.322263052071131,0.19647925865877275,PeMS7_228,0.1,23,205,random,5,32,2058,,,,
gsp,3.6088936504885605,6.305123398610347,0.08909733832412027,PeMS7_228,0.1,23,205,random,5,32,2058,,19.219555467820268,161.28480517543377,661.3073530149217
gls_map,3.483540437221061,6.032614442717708,0.08762142908555513,PeMS7_228,0.1,23,205,random,5,32,2058,,384.2942851557282,1914.1949297143542,109.6369265236186
historical_tod_mean,3.614960577574525,6.442218345369327,0.08596686840329014,PeMS7_228,0.1,23,205,random,6,32,2058,,,,
neighbor_average,7.721759259259261,11.855819419125615,0.19386787558417115,PeMS7_228,0.1,23,205,random,6,32,2058,,,,
gsp,3.526697515615738,6.1823428792674555,0.08619653546675225,PeMS7_228,0.1,23,205,random,6,32,2058,,19.216014925487862,159.89217711909635,661.2625925524177
