method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.083353746947497,7.016719986744287,0.09552580636022366,PeMS7_228,0.2,46,182,random,0,25,2151,,,,
neighbor_average,7.365731837606837,11.227121707396286,0.18599893516915508,PeMS7_228,0.2,46,182,random,0,25,2151,,,,
gsp,3.7910322574321698,6.626441080773429,0.09336033098426441,PeMS7_228,0.2,46,182,random,0,25,2151,,16.41986455586875,97.16902595833149,662.9630129178073
gls_map,3.511155432978843,6.162437126001347,0.0856594874949776,PeMS7_228,0.2,46,182,random,0,25,2151,,295.44772229476075,843.2640938008557,133.37373724372682
historical_tod_mean,3.967406755570818,6.754920200116124,0.09153509065835198,PeMS7_228,0.2,46,182,random,1,25,2151,,,,
neighbor_average,7.24517163970289,11.343124036238383,0.17923827541277004,PeMS7_228,0.2,46,182,random,1,25,2151,,,,
gsp,3.7011147486767477,6.396630162508281,0.0882768036892037,PeMS7_228,0.2,46,182,random,1,25,2151,,16.412038190140144,97.46535995629819,663.0508891208661
gls_map,3.375079283856093,5.7331678048503685,0.07991732911156242,PeMS7_228,0.2,46,182,random,1,25,2151,,287.7623947949597,766.12571544336,134.19787483949665
historical_tod_mean,4.049954164758852,6.9528465410485465,0.09357542659948019,PeMS7_228,0.2,46,182,random,2,25,2151,,,,
neighbor_average,7.56946097883598,11.859896149989801,0.1872326685536487,PeMS7_228,0.2,46,182,random,2,25,2151,,,,
gsp,3.781025761749836,6.567631657540315,0.09026892994124733,PeMS7_228,0.2,46,182,random,2,25,2151,,16.423186676848594,97.36200361403344,662.91913991645
gls_map,3.5790825700683424,6.12247220806206,0.08444749357198725,PeMS7_228,0.2,46,182,random,2,25,2151,,306.63213463284933,1070.7735694868854,132.7101748067518
historical_tod_mean,4.1009447973901105,7.046945320385312,0.09482547045737462,PeMS7_228,0.2,46,182,random,3,25,2151,,,,
neighbor_average,7.248850223850223,11.187861629554144,0.17583193654044435,PeMS7_228,0.2,46,182,random,3,25,2151,,,,
