method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.0426785714285716,1.8686446963972634,0.015218477707716112,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
neighbor_average,2.674542124542123,3.187689040098077,0.0394262934137681,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
gsp,1.0985413400729884,1.8345197076571016,0.016129423875336973,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.41771038106333,96.78111826662989,662.9842277742442
gls_map,1.1201797017847117,1.8097797993587001,0.01647464670094761,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,295.04843389265835,880.642927620295,132.72078707600997
historical_tod_mean,1.0426785714285716,1.8686446963972634,0.015218477707716112,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
neighbor_average,2.674542124542123,3.187689040098077,0.0394262934137681,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
gsp,1.0985413400729884,1.8345197076571016,0.016129423875336973,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.41771038106333,96.78111826662989,662.9842277742442
gls_map,1.1201797017847117,1.8097797993587001,0.01647464670094761,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,295.04843389265835,880.642927620295,132.72078707600997
historical_tod_mean,1.0426785714285716,1.8686446963972634,0.015218477707716112,PeMS7_228,0.2,46,182,best_random_by_trace,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
neighbor_average,2.674542124542123,3.187689040098077,0.0394262934137681,PeMS7_228,0.2,46,182,best_random_by_trace,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,
