method,certificate,pearson_mae,spearman_mae,n,candidate_count,split_seed
gsp,posterior_trace,0.4661773006956656,0.50293542074364,21,100,25
gsp,condition_number,0.3243648341664101,0.2276581865622961,21,100,25
gsp,information_logdet,-0.5033794919745694,-0.548597521200261,21,100,25
gls_map,posterior_trace,0.4226506477596298,0.2628832354859752,21,100,25
gls_map,condition_number,0.4597035967646725,0.6477495107632094,21,100,25
gls_map,information_logdet,-0.1642036677482384,-0.1050228310502283,21,100,25
gsp,posterior_trace,0.559985550152703,0.771689497716895,21,200,25
gsp,condition_number,0.5630073268891631,0.5251141552511415,21,200,25
gsp,information_logdet,-0.5703471859604167,-0.817351598173516,21,200,25
gls_map,posterior_trace,0.3434080325650965,0.1141552511415525,21,200,25
gls_map,condition_number,0.4597228377217426,0.5159817351598174,21,200,25
gls_map,information_logdet,-0.0839011000328619,0.0123939986953685,21,200,25
gsp,posterior_trace,0.427232590199333,0.4220482713633399,21,50,25
gsp,condition_number,0.3958251210842057,0.2393998695368558,21,50,25
gsp,information_logdet,-0.504641359344687,-0.5603392041748206,21,50,25
gls_map,posterior_trace,0.2638479257062306,0.0110893672537508,21,50,25
gls_map,condition_number,0.3993972509970837,0.3972602739726028,21,50,25
gls_map,information_logdet,-0.0137465243800458,0.0684931506849315,21,50,25
gsp,posterior_trace,0.5593895735198665,0.7925636007827788,21,500,25
gsp,condition_number,0.5162320016890575,0.4024787997390737,21,500,25
gsp,information_logdet,-0.6624049606577629,-0.8486627527723417,21,500,25
gls_map,posterior_trace,0.3038037544659273,0.0841487279843444,21,500,25
gls_map,condition_number,0.4357924153080267,0.5446836268754077,21,500,25
gls_map,information_logdet,-0.0420838119901794,-0.0163078930202217,21,500,25
