method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,random,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.9847154471544703,4.081877457400671,0.04670070244231264,PeMS7_228,0.1,23,205,random,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.4592447370887096,3.2493958284975357,0.023727206183264644,PeMS7_228,0.1,23,205,random,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.4195091896832794,3.2270752216716025,0.023122854583067683,PeMS7_228,0.1,23,205,random,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,368.31245150457517,1851.2514988658081,113.19138735681028
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.9847154471544703,4.081877457400671,0.04670070244231264,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.4592447370887096,3.2493958284975357,0.023727206183264644,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.4195091896832794,3.2270752216716025,0.023122854583067683,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,368.31245150457517,1851.2514988658081,113.19138735681028
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.9847154471544703,4.081877457400671,0.04670070244231264,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.4592447370887096,3.2493958284975357,0.023727206183264644,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.4195091896832794,3.2270752216716025,0.023122854583067683,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,368.31245150457517,1851.2514988658081,113.19138735681028
historical_tod_mean,1.3319390243902423,3.203315503258245,0.02168433345624177,PeMS7_228,0.1,23,205,degree,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.915284552845528,4.059776249725097,0.045150756210206824,PeMS7_228,0.1,23,205,degree,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.3368872998076358,3.203555430345999,0.02175419253291523,PeMS7_228,0.1,23,205,degree,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.21587889015747,161.6555043629962,661.0563118763868
gls_map,1.5600744496415648,3.27621362487888,0.025064061415492323,PeMS7_228,0.1,23,205,degree,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,415.7103860215925,2623.0646778863215,109.10193835086248
historical_tod_mean,1.2327804878048765,3.1500928944877846,0.020282751021831368,PeMS7_228,0.1,23,205,top_variance,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,3.022113821138211,4.207041458314657,0.0473896860445832,PeMS7_228,0.1,23,205,top_variance,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.2696050381286619,3.1568657248871976,0.0208933568138869,PeMS7_228,0.1,23,205,top_variance,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.230589133932575,155.93312857041911,661.3545590423053
gls_map,1.4148593366300508,3.160306713115485,0.023059852481214307,PeMS7_228,0.1,23,205,top_variance,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,425.1951422592524,2724.9379785355745,105.67705970497613
historical_tod_mean,1.1748292682926817,2.5916268668682156,0.018199506744215572,PeMS7_228,0.1,23,205,coverage,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,3.3393495934959336,4.250682075029962,0.050656606351502015,PeMS7_228,0.1,23,205,coverage,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.8249718004172417,2.8726251586563563,0.02761747103311297,PeMS7_228,0.1,23,205,coverage,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.21707339416558,160.2648553228319,661.3116729042943
gls_map,1.9246378417886412,2.917435430555499,0.02918896597896568,PeMS7_228,0.1,23,205,coverage,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,392.08549877534506,2813.6816204018373,114.38084618202684
historical_tod_mean,1.367085365853657,3.2278105497569003,0.0222032285643984,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,26,2052,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
