method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,random,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,random,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.3680000000000208,3.2274886691909677,0.022230131721585413,PeMS7_228,0.1,23,205,random,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,32.439545499629155,453.9857912725205,658.968884702891
gls_map,1.368000000000128,3.2274886691910165,0.02223013172158702,PeMS7_228,0.1,23,205,random,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,1140.0009201550408,31840.206046543666,85.19841612953806
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.3680000000000208,3.2274886691909677,0.022230131721585413,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,32.439545499629155,453.9857912725205,658.968884702891
gls_map,1.368000000000128,3.2274886691910165,0.02223013172158702,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.2488205479149515,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,1140.0009201550408,31840.206046543666,85.19841612953806
historical_tod_mean,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,1.3679999999999992,3.2274886691909686,0.022230131721585004,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,block_missing,block_missing_12,0.0,0.0,0.0,12,random,none,0.0,0.0,True,23,23,0,,,
