source,layout_id,validation_mae,posterior_trace,scenario_cvar_trace,condition_number,coverage_penalty,rcss_score,rcss_validation_weight,rcss_trace_weight,rcss_cvar_weight,rcss_condition_weight,rcss_coverage_weight,auto_weight_selected,auto_weight_tuner_mae,budget,sensors,selected,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,split_mode,selected_sensor_count,active_sensor_count,dropped_sensor_count
random_validation_pool,0,1.4152338580756478,383.9433916866403,237.4480975995138,2366.5343718682,0.0644407677328747,0.0424691921495651,1.0,0.0,0.0,0.0,0.0,False,1.4152338580756478,0.1,"[4, 7, 11, 19, 25, 32, 55, 58, 60, 62, 66, 101, 105, 107, 117, 143, 152, 157, 171, 175, 184, 205, 212]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
quality_coverage_sample,0,1.363051611927738,379.2525914350427,217.2894366482305,2385.997321260617,0.0559595606282094,0.0266411453622454,1.0,0.0,0.0,0.0,0.0,False,1.363051611927738,0.1,"[8, 17, 33, 35, 44, 52, 70, 71, 92, 95, 96, 105, 113, 118, 122, 133, 138, 152, 160, 169, 191, 208, 222]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
quality_coverage_sample,1,1.3288414953412089,385.6614372931245,214.0387522882745,2296.9225457567145,0.0586660392823728,0.0162644489587133,1.0,0.0,0.0,0.0,0.0,False,1.3288414953412089,0.1,"[15, 16, 28, 39, 53, 55, 59, 87, 101, 112, 114, 123, 130, 152, 175, 180, 183, 186, 192, 205, 213, 214, 217]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
degree,0,2.3391144856152786,416.9380690493425,222.9825912346409,2633.3960440702426,0.1924903177179009,0.3227029282970317,1.0,0.0,0.0,0.0,0.0,False,2.3391144856152786,0.1,"[54, 57, 58, 65, 66, 67, 68, 69, 77, 81, 83, 85, 87, 95, 96, 99, 100, 107, 142, 143, 145, 146, 148]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
top_variance,0,1.6318912372461605,440.76280105207616,278.92609375977867,3636.441938301085,0.113966993991329,0.1081862393730351,1.0,0.0,0.0,0.0,0.0,False,1.6318912372461605,0.1,"[0, 1, 6, 7, 11, 15, 30, 39, 52, 59, 60, 71, 113, 114, 117, 122, 125, 126, 159, 190, 198, 205, 209]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
coverage,0,1.4228241540656594,393.9949470638568,226.81963212156265,2839.866646431346,0.0688463342830867,0.0447714993311873,1.0,0.0,0.0,0.0,0.0,False,1.4228241540656594,0.1,"[5, 13, 29, 42, 58, 96, 104, 111, 114, 123, 125, 130, 135, 137, 141, 149, 156, 166, 196, 218, 224, 226, 227]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
greedy_a_trace,0,1.2889293494177736,334.5005609602586,188.4466011925379,1291.4317107561735,0.0556685916029787,0.004158199042452,1.0,0.0,0.0,0.0,0.0,False,1.2889293494177736,0.1,"[11, 31, 41, 44, 45, 48, 64, 65, 75, 100, 112, 124, 139, 141, 146, 157, 186, 194, 199, 202, 206, 222, 224]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
greedy_d_logdet,0,4.572042084690682,443.0261427519747,263.24443750945994,6983.533748683272,0.0611541721361966,1.0,1.0,0.0,0.0,0.0,0.0,False,4.572042084690682,0.1,"[13, 20, 21, 22, 25, 38, 42, 54, 57, 89, 108, 111, 130, 142, 144, 179, 182, 188, 190, 201, 204, 224, 226]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
robust_coverage_cvar,0,1.2752205090990132,364.6509400272488,165.5828380919689,1770.091918603465,0.0505466295019456,0.0,1.0,0.0,0.0,0.0,0.0,True,1.2752205090990132,0.1,"[0, 6, 36, 44, 47, 59, 73, 82, 86, 91, 100, 116, 127, 140, 141, 146, 163, 184, 190, 197, 200, 216, 220]",True,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
observability_proxy,0,1.68029100759113,396.99711188074406,227.42142105107595,2043.917771974658,0.1420944891419454,0.1228669763298975,1.0,0.0,0.0,0.0,0.0,False,1.68029100759113,0.1,"[10, 18, 54, 57, 58, 64, 65, 66, 68, 69, 77, 83, 84, 85, 87, 92, 95, 141, 142, 143, 145, 146, 148]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
graph_sampling_laplacian,0,1.4243086550355668,446.4532109209591,303.69372956949246,4170.37189808012,0.2984625935196143,0.045221781803523,1.0,0.0,0.0,0.0,0.0,False,1.4243086550355668,0.1,"[19, 38, 43, 110, 111, 113, 119, 121, 122, 125, 131, 135, 140, 159, 161, 180, 190, 191, 198, 199, 209, 211, 213]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
qr_pod_modes,0,1.961329070048328,359.55313595514883,232.21166150671013,2514.904708742184,0.0654563137188021,0.2081121301889628,1.0,0.0,0.0,0.0,0.0,False,1.961329070048328,0.1,"[16, 21, 25, 43, 46, 47, 61, 64, 67, 82, 105, 108, 111, 114, 130, 144, 181, 188, 193, 194, 204, 224, 226]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
scenario_average_a_trace,0,1.3282896393738342,373.7989719261264,155.9778737916551,2061.601983543342,0.0767825471980755,0.0160970586542272,1.0,0.0,0.0,0.0,0.0,False,1.3282896393738342,0.1,"[11, 36, 39, 47, 52, 66, 68, 69, 85, 86, 129, 140, 141, 146, 148, 169, 173, 179, 200, 208, 220, 223, 226]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
scenario_cvar_a_trace,0,1.3236001390694154,366.538256826357,157.13441027920504,1928.097607972518,0.0697528882190211,0.0146746279290894,1.0,0.0,0.0,0.0,0.0,False,1.3236001390694154,0.1,"[0, 28, 44, 47, 59, 65, 66, 69, 78, 86, 96, 116, 120, 126, 129, 140, 146, 163, 184, 200, 208, 220, 226]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
swap_from_greedy_a_trace,0,1.3950356456527406,330.0219605312109,186.3805290818228,1246.1671431292027,0.0509217913148534,0.0363426208566427,1.0,0.0,0.0,0.0,0.0,False,1.3950356456527406,0.1,"[11, 19, 41, 45, 46, 48, 53, 64, 65, 88, 95, 108, 118, 139, 146, 157, 186, 190, 194, 199, 206, 217, 224]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
swap_from_scenario_average,0,1.397026272089035,330.46841128686106,189.44888148733887,1356.6321590608418,0.0504663135990241,0.0369464225458309,1.0,0.0,0.0,0.0,0.0,False,1.397026272089035,0.1,"[11, 14, 19, 41, 45, 46, 48, 54, 85, 88, 98, 118, 124, 146, 157, 188, 194, 199, 200, 206, 208, 217, 224]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
swap_from_scenario_cvar,0,1.3798784795460273,330.99145649540617,194.3567207028763,1387.300357150719,0.0516940070242712,0.0317451120867017,1.0,0.0,0.0,0.0,0.0,False,1.3798784795460273,0.1,"[11, 19, 41, 45, 46, 47, 53, 54, 65, 85, 88, 93, 112, 124, 146, 157, 185, 191, 193, 194, 208, 217, 220]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
swap_from_best_random_trace,0,1.3916589726372766,329.9466287510106,191.09375196389573,1408.392949548606,0.0540610769272923,0.0353184001222045,1.0,0.0,0.0,0.0,0.0,False,1.3916589726372766,0.1,"[11, 19, 41, 45, 46, 48, 54, 55, 65, 85, 88, 98, 108, 118, 119, 139, 146, 157, 186, 191, 194, 217, 224]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
validation_swap,1,1.267949155268759,363.4330076573135,167.90404253808873,1892.744645823444,0.0515421782098767,0.0,1.0,0.0,0.0,0.0,0.0,,,0.1,"[0, 6, 25, 36, 44, 47, 59, 73, 82, 86, 91, 100, 127, 140, 141, 146, 163, 184, 190, 197, 200, 216, 220]",False,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,0.0,True,chronological,23,23,0
