method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.1135121951219524,2.2784701622992154,0.017748428986244385,PeMS7_228,0.1,23,205,random,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.944227642276423,4.0037252301022335,0.0460095392608287,PeMS7_228,0.1,23,205,random,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
gsp,1.2224073253161762,2.3245718316816846,0.019490682121755126,PeMS7_228,0.1,23,205,random,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.2558655435318624,2.298941849765955,0.01999778306798623,PeMS7_228,0.1,23,205,random,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,369.48293575279945,1910.6800811792375,113.04859107594555
historical_tod_mean,1.1135121951219524,2.2784701622992154,0.017748428986244385,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.386137573534668,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.944227642276423,4.0037252301022335,0.0460095392608287,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.386137573534668,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
gsp,1.2224073253161762,2.3245718316816846,0.019490682121755126,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.386137573534668,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.2558655435318624,2.298941849765955,0.01999778306798623,PeMS7_228,0.1,23,205,best_random_by_validation,0,26,2052,1.386137573534668,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,369.48293575279945,1910.6800811792375,113.04859107594555
historical_tod_mean,1.1135121951219524,2.2784701622992154,0.017748428986244385,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.944227642276423,4.0037252301022335,0.0460095392608287,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
gsp,1.2224073253161762,2.3245718316816846,0.019490682121755126,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,19.213845713778717,161.92255969972396,661.2067980372024
gls_map,1.2558655435318624,2.298941849765955,0.01999778306798623,PeMS7_228,0.1,23,205,best_random_by_trace,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,369.48293575279945,1910.6800811792375,113.04859107594555
historical_tod_mean,1.144439024390245,2.3011171465075884,0.018203737183762867,PeMS7_228,0.1,23,205,degree,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
neighbor_average,3.0728455284552854,4.384824779496151,0.047910710209492904,PeMS7_228,0.1,23,205,degree,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,,,
gsp,1.233213513163683,2.3348894313241053,0.019623253843823504,PeMS7_228,0.1,23,205,degree,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,19.21587889015747,161.6555043629962,661.0563118763868
gls_map,1.2191896060456535,2.351285925324697,0.01941763603215185,PeMS7_228,0.1,23,205,degree,0,26,2052,,temporal_shift,chronological_split,0.0,0.0,0.0,0,chronological,none,0.0,0.0,True,23,23,0,416.9380690493425,2633.3960440702426,108.8643573212555
