source,layout_id,validation_mae,posterior_trace,scenario_cvar_trace,condition_number,coverage_penalty,rcss_score,rcss_validation_weight,rcss_trace_weight,rcss_cvar_weight,rcss_condition_weight,rcss_coverage_weight,auto_weight_selected,auto_weight_tuner_mae,budget,sensors,selected
random_validation_pool,0,1.386137573534668,369.48293575279945,204.90979122513303,1910.6800811792375,0.059309631242979145,0.0336436358148223,1.0,0.0,0.0,0.0,0.0,False,1.386137573534668,0.1,"[2, 11, 12, 33, 34, 44, 54, 58, 76, 77, 83, 97, 140, 142, 145, 172, 173, 175, 180, 188, 194, 225, 227]",False
quality_coverage_sample,0,1.2779868375747314,373.12632096039374,206.29540514288493,1599.0489219729996,0.060731434605460446,0.0008390895328394483,1.0,0.0,0.0,0.0,0.0,False,1.2779868375747314,0.1,"[4, 13, 35, 37, 44, 53, 74, 82, 93, 102, 113, 114, 116, 122, 128, 131, 147, 159, 160, 164, 174, 200, 224]",False
quality_coverage_sample,1,1.4293587161003287,370.81738899483196,221.08403591001957,1669.031374184991,0.06186866803288165,0.0467535787021331,1.0,0.0,0.0,0.0,0.0,False,1.4293587161003287,0.1,"[0, 3, 23, 37, 39, 43, 46, 59, 61, 82, 107, 114, 128, 142, 147, 158, 162, 192, 193, 201, 203, 214, 219]",False
degree,0,2.3391144856152786,416.9380690493425,222.98259123464095,2633.3960440702426,0.19249031771790096,0.32270292829703173,1.0,0.0,0.0,0.0,0.0,False,2.3391144856152786,0.1,"[54, 57, 58, 65, 66, 67, 68, 69, 77, 81, 83, 85, 87, 95, 96, 99, 100, 107, 142, 143, 145, 146, 148]",False
top_variance,0,1.6318912372461605,440.76280105207616,278.92609375977867,3636.441938301085,0.11396699399132902,0.10818623937303519,1.0,0.0,0.0,0.0,0.0,False,1.6318912372461605,0.1,"[0, 1, 6, 7, 11, 15, 30, 39, 52, 59, 60, 71, 113, 114, 117, 122, 125, 126, 159, 190, 198, 205, 209]",False
coverage,0,1.4228241540656594,393.9949470638568,226.81963212156262,2839.866646431346,0.0688463342830867,0.0447714993311873,1.0,0.0,0.0,0.0,0.0,False,1.4228241540656594,0.1,"[5, 13, 29, 42, 58, 96, 104, 111, 114, 123, 125, 130, 135, 137, 141, 149, 156, 166, 196, 218, 224, 226, 227]",False
greedy_a_trace,0,1.2889293494177736,334.5005609602586,188.4466011925379,1291.4317107561735,0.0556685916029787,0.004158199042452011,1.0,0.0,0.0,0.0,0.0,False,1.2889293494177736,0.1,"[11, 31, 41, 44, 45, 48, 64, 65, 75, 100, 112, 124, 139, 141, 146, 157, 186, 194, 199, 202, 206, 222, 224]",False
greedy_d_logdet,0,4.572042084690682,443.0261427519747,263.24443750945994,6983.533748683272,0.06115417213619663,1.0,1.0,0.0,0.0,0.0,0.0,False,4.572042084690682,0.1,"[13, 20, 21, 22, 25, 38, 42, 54, 57, 89, 108, 111, 130, 142, 144, 179, 182, 188, 190, 201, 204, 224, 226]",False
robust_coverage_cvar,0,1.2752205090990132,364.6509400272488,165.5828380919689,1770.091918603465,0.050546629501945634,0.0,1.0,0.0,0.0,0.0,0.0,True,1.2752205090990132,0.1,"[0, 6, 36, 44, 47, 59, 73, 82, 86, 91, 100, 116, 127, 140, 141, 146, 163, 184, 190, 197, 200, 216, 220]",True
observability_proxy,0,1.6802910075911301,396.99711188074406,227.42142105107595,2043.917771974658,0.14209448914194547,0.12286697632989751,1.0,0.0,0.0,0.0,0.0,False,1.6802910075911301,0.1,"[10, 18, 54, 57, 58, 64, 65, 66, 68, 69, 77, 83, 84, 85, 87, 92, 95, 141, 142, 143, 145, 146, 148]",False
