method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,-0.2976161047452369,-0.155700325732899,21,25
gsp,condition_number,0.2320157624767752,0.193485342019544,21,25
gsp,information_logdet,-0.3171656045344576,-0.2612377850162867,21,25
gls_map,posterior_trace,0.2830936732193155,0.3550488599348534,21,25
gls_map,condition_number,0.0931785714507942,0.3081433224755701,21,25
gls_map,information_logdet,0.0057720083732074,-0.0592833876221498,21,25
gsp,posterior_trace,-0.1594030255656553,-0.121251629726206,21,26
gsp,condition_number,0.257420816202824,0.517601043024772,21,26
gsp,information_logdet,0.0879977090732504,0.0873533246414602,21,26
gls_map,posterior_trace,0.5208132193948557,0.3168187744458931,21,26
gls_map,condition_number,0.8500371697532183,0.2516297262059974,21,26
gls_map,information_logdet,0.4989404065974186,-0.2359843546284225,21,26
gsp,posterior_trace,-0.0310287761992779,0.1447196870925684,21,25
gsp,condition_number,0.3585246384047181,-0.2190352020860495,21,25
gsp,information_logdet,-0.1861611425823856,-0.3076923076923077,21,25
gls_map,posterior_trace,0.0299925589328148,0.0,21,25
gls_map,condition_number,0.4241611213575851,-0.2451108213820078,21,25
gls_map,information_logdet,0.6442353212180011,0.2790091264667536,21,25
gsp,posterior_trace,-0.1074586472836435,-0.2086049543676662,21,26
gsp,condition_number,0.4335841251839335,0.2033898305084746,21,26
gsp,information_logdet,-0.2292437634647623,-0.5280312907431551,21,26
gls_map,posterior_trace,0.0159288022429981,0.0026075619295958,21,26
gls_map,condition_number,0.4171335771182202,-0.1290743155149935,21,26
gls_map,information_logdet,0.6874284591788693,0.2920469361147327,21,26
gsp,posterior_trace,-0.2873971727744709,-0.0928652321630804,22,25
gsp,condition_number,0.2769873051699369,0.2536806342015855,22,25
gsp,information_logdet,-0.2684209918008952,-0.1698754246885617,22,25
gls_map,posterior_trace,0.2993443680006712,0.3759909399773499,22,25
gls_map,condition_number,0.1526912981832513,0.362400906002265,22,25
gls_map,information_logdet,0.0356075019248168,0.0362400906002264,22,25
gsp,posterior_trace,-0.1612124120649036,-0.0504249291784702,22,26
gsp,condition_number,0.2603683519346952,0.4991501416430594,22,26
gsp,information_logdet,0.0884873731442076,0.1331444759206798,22,26
gls_map,posterior_trace,0.507541671070544,0.3575070821529745,22,26
gls_map,condition_number,0.778938621509397,0.3189801699716714,22,26
gls_map,information_logdet,0.4844109030974313,-0.1648725212464589,22,26
gsp,posterior_trace,-0.2917588103790823,-0.2312703583061889,21,25
gsp,condition_number,0.2543546425366493,0.1791530944625407,21,25
gsp,information_logdet,-0.3372180576626409,-0.2143322475570032,21,25
gls_map,posterior_trace,0.2894776119051128,0.3824104234527687,21,25
gls_map,condition_number,0.0821052875301668,0.2716612377850163,21,25
gls_map,information_logdet,-0.0405712652521756,-0.0501628664495114,21,25
gsp,posterior_trace,-0.1470973445599524,-0.0625814863102998,21,26
gsp,condition_number,0.2476471494333765,0.5110821382007823,21,26
gsp,information_logdet,0.0799695641411539,0.0312907431551499,21,26
gls_map,posterior_trace,0.4499962462797214,0.2177314211212516,21,26
