method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777,PeMS7_228,0.1,23,205,random,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,random,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141316,0.0156918995674089,PeMS7_228,0.1,23,205,random,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.215242920831106,160.9586066284703,661.2266988625513
gls_map,1.145852453003581,1.918714604554267,0.0167872459445267,PeMS7_228,0.1,23,205,random,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709143
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141316,0.0156918995674089,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.215242920831106,160.9586066284703,661.2266988625513
gls_map,1.145852453003581,1.918714604554267,0.0167872459445267,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709143
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141316,0.0156918995674089,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.215242920831106,160.9586066284703,661.2266988625513
gls_map,1.145852453003581,1.918714604554267,0.0167872459445267,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709143
historical_tod_mean,1.021414634146342,1.9241664967764796,0.0148735644820562,PeMS7_228,0.1,23,205,degree,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.647479674796747,3.193401055004363,0.0391291559442452,PeMS7_228,0.1,23,205,degree,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.1229657349373072,1.88712862977378,0.0164816639306037,PeMS7_228,0.1,23,205,degree,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.21587889015747,161.6555043629962,661.0563118763868
gls_map,1.2088316159628365,1.942649937198417,0.0177633885705381,PeMS7_228,0.1,23,205,degree,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,417.5429555071117,2578.341924903169,108.0112567650442
historical_tod_mean,0.9473170731707315,1.7585292323346815,0.0138864231495241,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,3.3689430894308927,4.064447615278633,0.0510983070599129,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0227496935839828,1.735077871195915,0.0150905348820942,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.230589133932572,155.93312857041911,661.3545590423053
gls_map,1.1497325184147724,1.749236552936772,0.0170128807449325,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,427.4849783176014,2673.2829325989323,104.56773962442102
historical_tod_mean,1.002439024390244,1.907489746799792,0.0146155141925645,PeMS7_228,0.1,23,205,coverage,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.7834146341463404,3.348930986656418,0.04162329598478,PeMS7_228,0.1,23,205,coverage,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.2774618461139675,1.922191439155952,0.0188420108935334,PeMS7_228,0.1,23,205,coverage,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.21707339416558,160.2648553228319,661.3116729042943
gls_map,1.1120233132308626,1.860938546841133,0.0163698451211698,PeMS7_228,0.1,23,205,coverage,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,394.3283532504844,2831.5658834551623,113.41882477194092
historical_tod_mean,0.9956463414634148,1.890692067445789,0.01452659733541,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.6147967479674783,3.2482882713464525,0.0387710186462788,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.1932673448781417,1.8798021966679013,0.0175832348777185,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.21393029906376,159.9360826545195,661.1977720275777
gls_map,1.26484067725253,1.937678806277696,0.018669177334033,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,367.241611951375,1825.2217206300895,113.915944223693
historical_tod_mean,0.9619146341463424,1.7408006901086994,0.0140974954702923,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.9045528455284524,3.6134204831538574,0.0435397152930133,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.270786795929369,1.814900936774004,0.0188406697926034,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.215451109750116,159.79056603342067,661.2191496080525
gls_map,1.2484525937943045,1.9141841819705991,0.0185404475104911,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,367.8441815422618,1638.9479562112124,113.22159243471889
historical_tod_mean,1.0878414634146345,1.9837905865951195,0.0158333609270695,PeMS7_228,0.1,23,205,greedy_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.5572357723577226,3.2004107121254384,0.0380717300777945,PeMS7_228,0.1,23,205,greedy_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.1002739763308298,1.9566254960429696,0.0160642385048885,PeMS7_228,0.1,23,205,greedy_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,19.215013970753613,161.68508083987237,661.2343782684663
gls_map,1.1032706580415002,1.951490868266424,0.0161181993815075,PeMS7_228,0.1,23,205,greedy_a_trace,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,334.1473457871772,1276.7941577464314,113.02445572854776
historical_tod_mean,0.9939634146341466,1.8764240364678075,0.0144812210350929,PeMS7_228,0.1,23,205,greedy_d_logdet,0,25,2051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,23,23,0,,,
