method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,random,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,random,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141314,0.015691899567408903,PeMS7_228,0.1,23,205,random,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,19.215242920831102,160.95860662847033,661.2266988625513
gls_map,1.145852453003581,1.9187146045542667,0.016787245944526734,PeMS7_228,0.1,23,205,random,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709145
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141314,0.015691899567408903,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,19.215242920831102,160.95860662847033,661.2266988625513
gls_map,1.145852453003581,1.9187146045542667,0.016787245944526734,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709145
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
neighbor_average,2.772032520325202,3.3666948400978445,0.0408359367500218,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,,,
gsp,1.0732667035840218,1.9086716091141314,0.015691899567408903,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,19.215242920831102,160.95860662847033,661.2266988625513
gls_map,1.145852453003581,1.9187146045542667,0.016787245944526734,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.978704151419876,True,23,23,0,383.0894097230854,2282.5887535911097,109.48820100709145
historical_tod_mean,1.021414634146342,1.9241664967764793,0.014873564482056264,PeMS7_228,0.1,23,205,degree,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,43.42640495849323,True,23,23,0,,,
neighbor_average,2.647479674796747,3.193401055004363,0.03912915594424525,PeMS7_228,0.1,23,205,degree,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,43.42640495849323,True,23,23,0,,,
gsp,1.1229657349373072,1.8871286297737802,0.01648166393060371,PeMS7_228,0.1,23,205,degree,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,43.42640495849323,True,23,23,0,19.21587889015747,161.6555043629962,661.0563118763868
gls_map,1.2088316159628363,1.942649937198417,0.01776338857053817,PeMS7_228,0.1,23,205,degree,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,43.42640495849323,True,23,23,0,417.5429555071117,2578.3419249031695,108.0112567650442
historical_tod_mean,0.9473170731707315,1.7585292323346815,0.013886423149524199,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,49.320749264985054,False,23,23,0,,,
neighbor_average,3.3689430894308927,4.064447615278633,0.051098307059912966,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,49.320749264985054,False,23,23,0,,,
gsp,1.0227496935839828,1.735077871195915,0.015090534882094208,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,49.320749264985054,False,23,23,0,19.230589133932575,155.93312857041911,661.3545590423053
gls_map,1.1497325184147724,1.749236552936772,0.017012880744932547,PeMS7_228,0.1,23,205,top_variance,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,49.320749264985054,False,23,23,0,427.4849783176014,2673.2829325989323,104.56773962442102
historical_tod_mean,1.002439024390244,1.9074897467997922,0.014615514192564521,PeMS7_228,0.1,23,205,coverage,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,39.24582951174048,True,23,23,0,,,
neighbor_average,2.7834146341463404,3.348930986656418,0.041623295984780075,PeMS7_228,0.1,23,205,coverage,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,39.24582951174048,True,23,23,0,,,
gsp,1.2774618461139677,1.9221914391559518,0.018842010893533462,PeMS7_228,0.1,23,205,coverage,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,39.24582951174048,True,23,23,0,19.21707339416558,160.2648553228319,661.3116729042943
gls_map,1.1120233132308626,1.860938546841133,0.016369845121169818,PeMS7_228,0.1,23,205,coverage,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,39.24582951174048,True,23,23,0,394.3283532504844,2831.5658834551623,113.41882477194093
historical_tod_mean,0.9956463414634147,1.890692067445789,0.014526597335410056,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.717442682874115,True,23,23,0,,,
neighbor_average,2.6147967479674783,3.2482882713464525,0.038771018646278896,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.717442682874115,True,23,23,0,,,
gsp,1.1932673448781415,1.8798021966679015,0.017583234877718578,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.717442682874115,True,23,23,0,19.21393029906376,159.9360826545195,661.1977720275777
gls_map,1.26484067725253,1.937678806277696,0.018669177334033043,PeMS7_228,0.1,23,205,scenario_average_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.717442682874115,True,23,23,0,367.241611951375,1825.2217206300897,113.915944223693
historical_tod_mean,0.9619146341463424,1.7408006901086994,0.014097495470292383,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.66876075534335,True,23,23,0,,,
neighbor_average,2.9045528455284524,3.6134204831538574,0.04353971529301337,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.66876075534335,True,23,23,0,,,
gsp,1.270786795929369,1.8149009367740037,0.018840669792603484,PeMS7_228,0.1,23,205,scenario_cvar_a_trace,0,25,2051,,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,random,graph_traffic,45.0,41.66876075534335,True,23,23,0,19.215451109750113,159.79056603342067,661.2191496080525
