method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.0399999999999998,1.9388808289958441,0.015135911299059404,PeMS7_228,0.1,23,210,random,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
neighbor_average,2.738412698412697,3.345348187760803,0.04039806410265082,PeMS7_228,0.1,23,210,random,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
gsp,1.043278372271994,1.9210294902291198,0.015210453426177696,PeMS7_228,0.1,23,210,random,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,20.37387812098224,186.71612503381797,660.7979892995767
gls_map,1.0583773856465277,1.919049577623516,0.015436712507742067,PeMS7_228,0.1,23,210,random,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,407.2148909015342,2834.4559834340625,104.72656807266702
historical_tod_mean,1.0399999999999998,1.9388808289958441,0.015135911299059404,PeMS7_228,0.1,23,210,best_random_by_validation,0,25,2051,1.9181470195282155,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
neighbor_average,2.738412698412697,3.345348187760803,0.04039806410265082,PeMS7_228,0.1,23,210,best_random_by_validation,0,25,2051,1.9181470195282155,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
gsp,1.043278372271994,1.9210294902291198,0.015210453426177696,PeMS7_228,0.1,23,210,best_random_by_validation,0,25,2051,1.9181470195282155,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,20.37387812098224,186.71612503381797,660.7979892995767
gls_map,1.0583773856465277,1.919049577623516,0.015436712507742067,PeMS7_228,0.1,23,210,best_random_by_validation,0,25,2051,1.9181470195282155,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,407.2148909015342,2834.4559834340625,104.72656807266702
historical_tod_mean,1.0399999999999998,1.9388808289958441,0.015135911299059404,PeMS7_228,0.1,23,210,best_random_by_trace,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
neighbor_average,2.738412698412697,3.345348187760803,0.04039806410265082,PeMS7_228,0.1,23,210,best_random_by_trace,0,25,2051,,sensor_failure,failure_0.20,0.2,0.0,0.0,0,random,none,0.0,0.0,True,23,18,5,,,
