split_seed,budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,best_layout,mae
25,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.0598911548099543
25,0.1,block_missing,block_missing_12,0.0,0.0,0.0,12,none,0.0,random,validation_swap_selected,0.9345243902438932
25,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,graph_sampling_laplacian,1.0598911548099543
25,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,graph_sampling_laplacian,1.102723514131349
25,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,graph_sampling_laplacian,1.059638699945491
25,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.078610262159582
25,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,1.0741311288700444
25,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,random,1.0583773856465275
25,0.1,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,chronological,top_variance,1.1132177901079738
26,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,1.3729838592729904
26,0.1,block_missing,block_missing_12,0.0,0.0,0.0,12,none,0.0,random,coverage,1.174829268292801
26,0.1,cost_proxy,cost_proxy_budget,0.0,0.0,0.0,0,graph_traffic,45.0,random,validation_swap_selected,1.3729838592729904
26,0.1,observation_noise,noise_0.05,0.0,0.05,0.0,0,none,0.0,random,qr_pod_modes,1.388019523189964
26,0.1,random_missing,random_missing_0.10,0.0,0.0,0.1,0,none,0.0,random,scenario_average_a_trace,1.3591486281167229
26,0.1,sensor_failure,failure_0.05,0.05,0.0,0.0,0,none,0.0,random,validation_swap_selected,1.3663511462214162
26,0.1,sensor_failure,failure_0.10,0.1,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,1.3500886045411056
26,0.1,sensor_failure,failure_0.20,0.2,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,1.3592734404395097
26,0.1,temporal_shift,chronological_split,0.0,0.0,0.0,0,none,0.0,chronological,top_variance,1.1132177901079738
