method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,random,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.43812195121951,3.1377818220635754,0.036107299699213516,PeMS7_228,0.1,23,205,random,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0774780802424195,1.9071188938098114,0.015758344180229582,PeMS7_228,0.1,23,205,random,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,19.637146674572953,170.7205478278589,661.0488136909124
gls_map,1.1788841479970842,1.9327135861206846,0.01728492254344468,PeMS7_228,0.1,23,205,random,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,394.36732559355335,2614.53947632728,107.79712481430664
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.43812195121951,3.1377818220635754,0.036107299699213516,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0774780802424195,1.9071188938098114,0.015758344180229582,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,19.637146674572953,170.7205478278589,661.0488136909124
gls_map,1.1788841479970842,1.9327135861206846,0.01728492254344468,PeMS7_228,0.1,23,205,best_random_by_validation,0,25,2051,1.9181470195282155,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,394.36732559355335,2614.53947632728,107.79712481430664
historical_tod_mean,1.0468658536585365,1.949590490146145,0.015231382451777067,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
neighbor_average,2.43812195121951,3.1377818220635754,0.036107299699213516,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,,,
gsp,1.0774780802424195,1.9071188938098114,0.015758344180229582,PeMS7_228,0.1,23,205,best_random_by_trace,0,25,2051,,random_missing,random_missing_0.10,0.0,0.0,0.1,0,random,none,0.0,0.0,True,23,23,0,19.637146674572953,170.7205478278589,661.0488136909124
