method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.00218246843992,0.0460659613457022,642,20
gsp,condition_number,0.0045097322872945,0.0042469139609629,642,20
gsp,information_logdet,-0.0289537928637118,-0.0729281711581493,642,20
gls_map,posterior_trace,0.8655679995925137,0.8605308421369964,642,20
gls_map,condition_number,0.8299384397473409,0.8609234824218305,642,20
gls_map,information_logdet,-0.8209693082155604,-0.815625273871474,642,20
gsp,posterior_trace,0.1435061299163848,0.1610039709819866,642,21
gsp,condition_number,0.1453687116582169,0.1498290055602273,642,21
gsp,information_logdet,-0.168078470550797,-0.2074386968913528,642,21
gls_map,posterior_trace,0.8196460086559918,0.8578963668165529,642,21
gls_map,condition_number,0.8287315343694672,0.8619134697524802,642,21
gls_map,information_logdet,-0.7713244098048484,-0.8038975331278344,642,21
gsp,posterior_trace,0.2035271194105947,0.2569136530532614,642,22
gsp,condition_number,0.2044224349161945,0.1962603391200539,642,22
gsp,information_logdet,-0.2243045378942,-0.2624031800146534,642,22
gls_map,posterior_trace,0.8433886846754616,0.8474523911151002,642,22
gls_map,condition_number,0.8163888835696742,0.8444996978782912,642,22
gls_map,information_logdet,-0.8013205648259353,-0.7998074529643392,642,22
gsp,posterior_trace,0.215397861013503,0.2552093599675385,642,23
gsp,condition_number,0.2159922675320972,0.2156364072960437,642,23
gsp,information_logdet,-0.2298341392079335,-0.2475080686150008,642,23
gls_map,posterior_trace,0.8389818600634891,0.8510501075531897,642,23
gls_map,condition_number,0.8185772757823766,0.8457207118090376,642,23
gls_map,information_logdet,-0.79501197352475,-0.7957858740877707,642,23
gsp,posterior_trace,0.3611878222169832,0.3539163535551408,642,24
gsp,condition_number,0.3631011732615922,0.3458572048182018,642,24
gsp,information_logdet,-0.3661994321884071,-0.3845111424046276,642,24
gls_map,posterior_trace,0.8534089475063896,0.8453212585024449,642,24
gls_map,condition_number,0.8105150070784136,0.8432582869417935,642,24
gls_map,information_logdet,-0.8242772386119912,-0.8067434635682578,642,24
