method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,run_dir
historical_tod_mean,3.862427845528456,6.639860985317729,0.0929654867434142,PeMS7_228,0.1,23,205,random,0,20,2026,,,,,seed_20
neighbor_average,7.906352472899727,11.923335395416665,0.1903253816920649,PeMS7_228,0.1,23,205,random,0,20,2026,,,,,seed_20
gsp,3.858924459865457,6.423869129242945,0.0910343736508507,PeMS7_228,0.1,23,205,random,0,20,2026,,19.21600744743309,161.6633347321904,661.254288376412,seed_20
gls_map,3.530376704515355,5.9233401141157005,0.0836827312390417,PeMS7_228,0.1,23,205,random,0,20,2026,,375.1958335626583,1739.0721699462972,108.76979971938744,seed_20
historical_tod_mean,3.862077362804878,6.660096861918223,0.0928850055304608,PeMS7_228,0.1,23,205,random,1,20,2026,,,,,seed_20
neighbor_average,7.425607780036134,11.314974535586307,0.1888804201407684,PeMS7_228,0.1,23,205,random,1,20,2026,,,,,seed_20
gsp,3.884035959665221,6.478259301694984,0.0898034177938433,PeMS7_228,0.1,23,205,random,1,20,2026,,19.21482007855433,161.64249249149069,661.2410696051451,seed_20
gls_map,3.603137727943187,5.933177795019553,0.0824164105059949,PeMS7_228,0.1,23,205,random,1,20,2026,,374.4885016307666,1944.4364191084592,108.17711625901894,seed_20
historical_tod_mean,3.944287643970189,6.7569198773504615,0.0953008862020776,PeMS7_228,0.1,23,205,random,2,20,2026,,,,,seed_20
neighbor_average,7.377107328364951,11.01978858117332,0.185144688467369,PeMS7_228,0.1,23,205,random,2,20,2026,,,,,seed_20
gsp,3.945483931876064,6.524192535367649,0.0954394976791453,PeMS7_228,0.1,23,205,random,2,20,2026,,19.219616447338723,157.1805255092368,661.3412588891111,seed_20
gls_map,3.659015431777466,6.077183281791393,0.0894407908873118,PeMS7_228,0.1,23,205,random,2,20,2026,,376.4414935381345,1710.0887517229958,107.75894068546688,seed_20
historical_tod_mean,3.894238185975609,6.688288177227191,0.0926721222279249,PeMS7_228,0.1,23,205,random,3,20,2026,,,,,seed_20
neighbor_average,7.632041553748871,11.167584023719243,0.1878954949259831,PeMS7_228,0.1,23,205,random,3,20,2026,,,,,seed_20
gsp,3.879281085242922,6.494158045193648,0.0904318984436543,PeMS7_228,0.1,23,205,random,3,20,2026,,19.21494150776166,161.72565376551506,661.2497596282138,seed_20
gls_map,3.737677269351432,6.247102078313593,0.0868131101727677,PeMS7_228,0.1,23,205,random,3,20,2026,,379.9241900458821,1784.1644933553584,109.0090350867708,seed_20
historical_tod_mean,3.8471664549458,6.582922988748696,0.0922134210105832,PeMS7_228,0.1,23,205,random,4,20,2026,,,,,seed_20
neighbor_average,8.187074017615176,12.304820520955223,0.1915901615127558,PeMS7_228,0.1,23,205,random,4,20,2026,,,,,seed_20
gsp,3.904685698278589,6.369565750711865,0.0926460922692297,PeMS7_228,0.1,23,205,random,4,20,2026,,19.22032593777326,156.6275219360895,661.3035164266824,seed_20
gls_map,3.7395988100718367,6.059588800241535,0.0888694692021474,PeMS7_228,0.1,23,205,random,4,20,2026,,393.3090132266759,2173.957483163383,107.90501404231578,seed_20
historical_tod_mean,3.9205818936314367,6.747101783320571,0.0933787072852191,PeMS7_228,0.1,23,205,random,5,20,2026,,,,,seed_20
neighbor_average,7.89781306458898,11.426161302156808,0.1910051717462605,PeMS7_228,0.1,23,205,random,5,20,2026,,,,,seed_20
gsp,3.908881334338267,6.631834368873051,0.0905292205139632,PeMS7_228,0.1,23,205,random,5,20,2026,,19.21685715109446,161.90503444067463,661.2838848102369,seed_20
gls_map,3.6344018306210857,6.189271123333462,0.0833954454202845,PeMS7_228,0.1,23,205,random,5,20,2026,,375.018891357104,1753.903762252042,108.9960927523238,seed_20
historical_tod_mean,3.890202786246612,6.688040921013675,0.0937524218621619,PeMS7_228,0.1,23,205,random,6,20,2026,,,,,seed_20
neighbor_average,7.298948453026196,11.179812894673448,0.1930067286206074,PeMS7_228,0.1,23,205,random,6,20,2026,,,,,seed_20
gsp,3.98772037970528,6.545830798856455,0.0950676530667063,PeMS7_228,0.1,23,205,random,6,20,2026,,19.21528461624527,161.07999625212247,661.2269037273044,seed_20
gls_map,3.751205085603046,6.100773408779083,0.0909055174762284,PeMS7_228,0.1,23,205,random,6,20,2026,,374.8357383330534,1978.191760692074,111.62811312276855,seed_20
historical_tod_mean,3.873065548780488,6.646883869201193,0.0931350160654182,PeMS7_228,0.1,23,205,random,7,20,2026,,,,,seed_20
