method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.6727656673441733,6.547412023430685,0.10407361500928218,PeMS7_228,0.1,23,205,random,0,21,2026,,,,
neighbor_average,8.302944049232158,12.594412975231538,0.22477641483817748,PeMS7_228,0.1,23,205,random,0,21,2026,,,,
gsp,3.6990231598059933,6.40975651292923,0.1001198458905361,PeMS7_228,0.1,23,205,random,0,21,2026,,19.216007447433086,161.6633347321904,661.254288376412
gls_map,3.6589005490779893,6.171480890014057,0.0947054393488027,PeMS7_228,0.1,23,205,random,0,21,2026,,375.07866342741795,1707.5301518790639,109.83914495521628
historical_tod_mean,3.692432715108401,6.647697878392233,0.10531518971651065,PeMS7_228,0.1,23,205,random,1,21,2026,,,,
neighbor_average,7.804115571364046,12.02054977050677,0.21569301132189703,PeMS7_228,0.1,23,205,random,1,21,2026,,,,
gsp,3.7253240850162594,6.499536893203388,0.10124631582485011,PeMS7_228,0.1,23,205,random,1,21,2026,,19.21482007855433,161.64249249149069,661.2410696051451
gls_map,3.631846361263492,6.1996990272148205,0.09340750605927309,PeMS7_228,0.1,23,205,random,1,21,2026,,374.19829348477947,1928.180304527494,109.33197348535379
historical_tod_mean,3.773410018631435,6.735626074544708,0.10716720608965183,PeMS7_228,0.1,23,205,random,2,21,2026,,,,
neighbor_average,7.876293473351399,11.965655564612264,0.2030980881410562,PeMS7_228,0.1,23,205,random,2,21,2026,,,,
gsp,3.765795748767569,6.5572981837970135,0.1013794374925455,PeMS7_228,0.1,23,205,random,2,21,2026,,19.219616447338723,157.1805255092368,661.3412588891111
gls_map,3.6744232429647434,6.328912728580373,0.09535522107752352,PeMS7_228,0.1,23,205,random,2,21,2026,,377.26484926361377,1756.8322372923633,108.95620756805782
historical_tod_mean,3.7070447577913272,6.617945425309543,0.10391310976711655,PeMS7_228,0.1,23,205,random,3,21,2026,,,,
neighbor_average,8.218467140921408,12.033085416787188,0.22131123772810568,PeMS7_228,0.1,23,205,random,3,21,2026,,,,
gsp,3.7467988586681598,6.480158941899833,0.1000551542679348,PeMS7_228,0.1,23,205,random,3,21,2026,,19.21494150776166,161.72565376551506,661.2497596282138
gls_map,3.7279597846487356,6.372183846480017,0.09712957965630765,PeMS7_228,0.1,23,205,random,3,21,2026,,380.9768933386531,1861.2185960877537,110.07652351217152
historical_tod_mean,3.662972857384824,6.578198830460031,0.10292191638816374,PeMS7_228,0.1,23,205,random,4,21,2026,,,,
neighbor_average,9.031794828364951,13.779325257039815,0.22297667731338053,PeMS7_228,0.1,23,205,random,4,21,2026,,,,
gsp,3.678533406079278,6.4360703199371585,0.09927889232179123,PeMS7_228,0.1,23,205,random,4,21,2026,,19.22032593777326,156.6275219360895,661.3035164266824
gls_map,3.7315684983168778,6.247810079084306,0.09375418604992607,PeMS7_228,0.1,23,205,random,4,21,2026,,393.00209218743305,2145.395895815912,109.05260394174233
historical_tod_mean,3.716806952913279,6.6644934607732855,0.10498577736242654,PeMS7_228,0.1,23,205,random,5,21,2026,,,,
neighbor_average,8.472387929087624,12.227738512103143,0.22539294262684564,PeMS7_228,0.1,23,205,random,5,21,2026,,,,
gsp,3.8121370881645005,6.549238006070686,0.10077673905466268,PeMS7_228,0.1,23,205,random,5,21,2026,,19.21685715109446,161.90503444067465,661.2838848102369
gls_map,3.7997824654461207,6.310257217667387,0.09645399508415663,PeMS7_228,0.1,23,205,random,5,21,2026,,374.2335042726795,1759.8695612771444,110.06279673699633
historical_tod_mean,3.6799435552168016,6.57126553322922,0.1027916419741046,PeMS7_228,0.1,23,205,random,6,21,2026,,,,
neighbor_average,7.804588979223125,11.911137767370468,0.2104848546933592,PeMS7_228,0.1,23,205,random,6,21,2026,,,,
gsp,3.7231963405105293,6.503121873263606,0.09826410782151702,PeMS7_228,0.1,23,205,random,6,21,2026,,19.21528461624527,161.07999625212247,661.2269037273044
gls_map,3.7382044162398023,6.3058312952448885,0.09435137908324938,PeMS7_228,0.1,23,205,random,6,21,2026,,376.77453277575694,1983.859195898139,112.77266773356973
historical_tod_mean,3.706881690379404,6.628169738183185,0.10532876146119642,PeMS7_228,0.1,23,205,random,7,21,2026,,,,
neighbor_average,8.17290735094851,12.35172116442899,0.2163644686390464,PeMS7_228,0.1,23,205,random,7,21,2026,,,,
gsp,3.781250507616293,6.463187933428878,0.09976308997580423,PeMS7_228,0.1,23,205,random,7,21,2026,,19.216508998730312,157.92525672415013,661.2589903890878
gls_map,3.7199730183682784,6.243404248083716,0.09527069999164776,PeMS7_228,0.1,23,205,random,7,21,2026,,379.65841233340467,1878.7277081841771,110.88476772521285
historical_tod_mean,3.6991393546747964,6.652543403344311,0.10660793648786747,PeMS7_228,0.1,23,205,random,8,21,2026,,,,
neighbor_average,8.224400971093045,12.960897296137246,0.24871324044021373,PeMS7_228,0.1,23,205,random,8,21,2026,,,,
gsp,3.744234794339443,6.526034891106671,0.10322760757982108,PeMS7_228,0.1,23,205,random,8,21,2026,,19.21554172550651,159.82769006926253,661.2436634299186
gls_map,3.708704673603522,6.346408140021889,0.10009132395907264,PeMS7_228,0.1,23,205,random,8,21,2026,,368.7353734049477,1794.5225168787847,111.62268159373669
historical_tod_mean,3.759222730352304,6.702839601009837,0.10607594577225128,PeMS7_228,0.1,23,205,random,9,21,2026,,,,
neighbor_average,7.877906221770551,12.455747741093148,0.22646817453742082,PeMS7_228,0.1,23,205,random,9,21,2026,,,,
gsp,3.7769310046408733,6.541651272578014,0.10131582691369276,PeMS7_228,0.1,23,205,random,9,21,2026,,19.219105353475474,158.09794987921615,661.2918658674585
gls_map,3.7893164158136936,6.501618888216418,0.098353900980303,PeMS7_228,0.1,23,205,random,9,21,2026,,381.92842299991366,1947.6344789820198,109.68024269166393
historical_tod_mean,3.704715574186992,6.635758328198564,0.10493561494376859,PeMS7_228,0.1,23,205,random,10,21,2026,,,,
neighbor_average,8.0465190266486,12.218118633530047,0.2227705008952535,PeMS7_228,0.1,23,205,random,10,21,2026,,,,
gsp,3.745597445277824,6.519431243690221,0.10214377503857025,PeMS7_228,0.1,23,205,random,10,21,2026,,19.22482866754332,161.5405893372637,661.3536651852646
gls_map,3.639515333778805,6.206909735456885,0.09380557706294117,PeMS7_228,0.1,23,205,random,10,21,2026,,370.2083701545085,1733.165418229815,111.29573471530682
historical_tod_mean,3.722424669715447,6.670170504610309,0.10558017615102645,PeMS7_228,0.1,23,205,random,11,21,2026,,,,
neighbor_average,8.246912827461609,12.508781873744551,0.21514455996093165,PeMS7_228,0.1,23,205,random,11,21,2026,,,,
gsp,3.7324962373386996,6.5314141849052225,0.10195578459324305,PeMS7_228,0.1,23,205,random,11,21,2026,,19.216032036717202,155.32444520064755,661.2576760415395
gls_map,3.593163397708292,6.147257457710437,0.09219500450731287,PeMS7_228,0.1,23,205,random,11,21,2026,,373.5413577161032,1725.0876720310434,110.36259432600954
historical_tod_mean,3.712601075542005,6.6842305720098265,0.10512638264357853,PeMS7_228,0.1,23,205,random,12,21,2026,,,,
neighbor_average,8.153192468383017,12.341590836529841,0.2092214575413276,PeMS7_228,0.1,23,205,random,12,21,2026,,,,
gsp,3.7688926360699284,6.543189130016197,0.09866730921136974,PeMS7_228,0.1,23,205,random,12,21,2026,,19.21695597703949,158.3238809734257,661.2490633604361
gls_map,3.6319219279684685,6.255806697333593,0.092205236603848,PeMS7_228,0.1,23,205,random,12,21,2026,,376.3969757164628,1823.1840685999057,110.95914050526139
historical_tod_mean,3.7566343580623305,6.70837894333678,0.10727536467833709,PeMS7_228,0.1,23,205,random,13,21,2026,,,,
neighbor_average,8.257334857723578,12.560812377936458,0.2385548306055979,PeMS7_228,0.1,23,205,random,13,21,2026,,,,
