method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.0010124730413602,0.044098663458694,648,20
gsp,condition_number,0.0033616372178417,0.0028475938496806,648,20
gsp,information_logdet,-0.0274486490712507,-0.0712144992068823,648,20
gls_map,posterior_trace,0.8668726674129417,0.8625243070405493,648,20
gls_map,condition_number,0.8299453364904786,0.8620248529670052,648,20
gls_map,information_logdet,-0.8217315608089932,-0.8175031419850907,648,20
gsp,posterior_trace,0.1464647911930134,0.1642371294210562,648,21
gsp,condition_number,0.1483621840410714,0.1518980776728941,648,21
gsp,information_logdet,-0.170642765592986,-0.2112405438347145,648,21
gls_map,posterior_trace,0.8210203743741333,0.8592911050821845,648,21
gls_map,condition_number,0.8292521471857297,0.8623354596479248,648,21
gls_map,information_logdet,-0.7720327365049705,-0.8060386270071164,648,21
gsp,posterior_trace,0.2043200941078048,0.2573721744733294,648,22
gsp,condition_number,0.2052926037689101,0.1967893368638382,648,22
gsp,information_logdet,-0.2249691844306455,-0.2606108864241311,648,22
gls_map,posterior_trace,0.8448708911286568,0.849143507835035,648,22
gls_map,condition_number,0.8163458293325605,0.8450898807947429,648,22
gls_map,information_logdet,-0.8023244954138726,-0.8019205499684561,648,22
gsp,posterior_trace,0.2177904000392545,0.2577543111541545,648,23
gsp,condition_number,0.2183813643753312,0.2182898097146132,648,23
gsp,information_logdet,-0.2329155956971847,-0.2500873272845365,648,23
gls_map,posterior_trace,0.8396603754592284,0.8516119521895656,648,23
gls_map,condition_number,0.8186366057669437,0.8459156178406759,648,23
gls_map,information_logdet,-0.7947799333888985,-0.7968593489919351,648,23
gsp,posterior_trace,0.3620626400919052,0.3556516330319056,648,24
gsp,condition_number,0.3639641991857925,0.3476537079384668,648,24
gsp,information_logdet,-0.3672523743603657,-0.3850526109299698,648,24
gls_map,posterior_trace,0.8547090236617516,0.8471371422916304,648,24
gls_map,condition_number,0.8111746895813896,0.8437542613468476,648,24
gls_map,information_logdet,-0.8249279560828104,-0.8089064773177713,648,24
