method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.432076304200542,6.098255785918099,0.09244346781667928,PeMS7_228,0.1,23,205,random,0,23,2026,,,,
neighbor_average,8.302827461607949,12.585423699587277,0.20602880880298746,PeMS7_228,0.1,23,205,random,0,23,2026,,,,
gsp,3.4576377609402114,6.0446344397572505,0.08940560953263638,PeMS7_228,0.1,23,205,random,0,23,2026,,19.216007447433086,161.6633347321904,661.254288376412
gls_map,3.430787101966537,5.883624371852435,0.08621930189627147,PeMS7_228,0.1,23,205,random,0,23,2026,,379.8700576697182,1712.34402181539,107.24500898731013
historical_tod_mean,3.43162339092141,6.1270322910221235,0.09462372663585675,PeMS7_228,0.1,23,205,random,1,23,2026,,,,
neighbor_average,7.919212398373983,12.193067285546755,0.21542718682769965,PeMS7_228,0.1,23,205,random,1,23,2026,,,,
gsp,3.4448579726697313,6.063450593397167,0.09250385712064213,PeMS7_228,0.1,23,205,random,1,23,2026,,19.21482007855433,161.64249249149069,661.2410696051451
gls_map,3.4347120972034864,5.959553700345953,0.09007455314420097,PeMS7_228,0.1,23,205,random,1,23,2026,,378.3723861793944,1930.8890199744383,106.69777463129857
historical_tod_mean,3.520798526422764,6.215667684917696,0.09600226211268001,PeMS7_228,0.1,23,205,random,2,23,2026,,,,
neighbor_average,7.954398148148147,11.93299550405468,0.20056413279290425,PeMS7_228,0.1,23,205,random,2,23,2026,,,,
gsp,3.57141373322722,6.169755957032965,0.09410870023427109,PeMS7_228,0.1,23,205,random,2,23,2026,,19.219616447338723,157.1805255092368,661.3412588891111
gls_map,3.4972493151194404,6.015622264376429,0.08834163526024941,PeMS7_228,0.1,23,205,random,2,23,2026,,381.7577453605713,1743.4714582305166,106.27408700952148
historical_tod_mean,3.462918064024391,6.145006392450881,0.09401928876856107,PeMS7_228,0.1,23,205,random,3,23,2026,,,,
neighbor_average,8.246194952574525,12.00837091233266,0.21269710085953733,PeMS7_228,0.1,23,205,random,3,23,2026,,,,
gsp,3.5408853331874073,6.093916950316105,0.09059351831969147,PeMS7_228,0.1,23,205,random,3,23,2026,,19.21494150776166,161.72565376551506,661.2497596282138
gls_map,3.5380068525666104,6.006388306164353,0.08850826440441265,PeMS7_228,0.1,23,205,random,3,23,2026,,385.1820645437364,1817.5341469565521,107.59796696258265
historical_tod_mean,3.37940773204607,5.999869130640716,0.09141508142940494,PeMS7_228,0.1,23,205,random,4,23,2026,,,,
neighbor_average,8.817993168473352,13.437771635805484,0.20826562895717712,PeMS7_228,0.1,23,205,random,4,23,2026,,,,
gsp,3.5374367443901096,6.016316750996464,0.09230425023612338,PeMS7_228,0.1,23,205,random,4,23,2026,,19.22032593777326,156.6275219360895,661.3035164266824
gls_map,3.5378638080963323,5.917862248882041,0.08842976375089,PeMS7_228,0.1,23,205,random,4,23,2026,,398.1491313686995,2193.952021032364,106.47076260770947
historical_tod_mean,3.4609182757452572,6.1479788512719225,0.09440877141473927,PeMS7_228,0.1,23,205,random,5,23,2026,,,,
neighbor_average,8.297844399277327,12.248317122727675,0.21742000164998987,PeMS7_228,0.1,23,205,random,5,23,2026,,,,
gsp,3.5036450529319842,6.126975172323055,0.09353510125767475,PeMS7_228,0.1,23,205,random,5,23,2026,,19.21685715109446,161.90503444067465,661.2838848102369
gls_map,3.4399344944280217,6.006279353093777,0.08996414761149427,PeMS7_228,0.1,23,205,random,5,23,2026,,378.31376071328316,1750.38733071221,107.58307811645965
historical_tod_mean,3.4488467140921415,6.136642448448494,0.09426089254483425,PeMS7_228,0.1,23,205,random,6,23,2026,,,,
neighbor_average,7.782310580397471,11.9686059100304,0.2103096604248628,PeMS7_228,0.1,23,205,random,6,23,2026,,,,
gsp,3.491325494762829,6.077377940046548,0.09081425508947975,PeMS7_228,0.1,23,205,random,6,23,2026,,19.21528461624527,161.07999625212247,661.2269037273044
gls_map,3.500437187080717,6.0699871382465425,0.08983115434939486,PeMS7_228,0.1,23,205,random,6,23,2026,,380.1400826845069,1996.5996329726752,110.26532170118334
historical_tod_mean,3.4315763042005423,6.081065079895806,0.09384560567630913,PeMS7_228,0.1,23,205,random,7,23,2026,,,,
neighbor_average,8.249437669376695,12.326595949633068,0.21517092357239329,PeMS7_228,0.1,23,205,random,7,23,2026,,,,
gsp,3.510459452640902,6.077397547772797,0.09386334099933936,PeMS7_228,0.1,23,205,random,7,23,2026,,19.216508998730312,157.92525672415013,661.2589903890878
gls_map,3.570803251985029,6.020230215501573,0.09069430418986595,PeMS7_228,0.1,23,205,random,7,23,2026,,384.1203606110908,1852.0444858418527,108.1832279178675
historical_tod_mean,3.4741341886856363,6.164507362618383,0.09533265601985809,PeMS7_228,0.1,23,205,random,8,23,2026,,,,
neighbor_average,8.064728150406504,12.753925502076264,0.22967998631569397,PeMS7_228,0.1,23,205,random,8,23,2026,,,,
gsp,3.462806105873823,6.103012736276215,0.09308639206562556,PeMS7_228,0.1,23,205,random,8,23,2026,,19.21554172550651,159.82769006926253,661.2436634299186
gls_map,3.49298434580788,6.013530187111856,0.091099291685838,PeMS7_228,0.1,23,205,random,8,23,2026,,372.8011478478661,1769.2552566644179,108.92326409245159
historical_tod_mean,3.498657774390244,6.153330817412809,0.09488607418102253,PeMS7_228,0.1,23,205,random,9,23,2026,,,,
neighbor_average,7.867876580849141,12.320020097884802,0.22052236053019342,PeMS7_228,0.1,23,205,random,9,23,2026,,,,
gsp,3.5501266733600914,6.117612248110041,0.09408768068339113,PeMS7_228,0.1,23,205,random,9,23,2026,,19.219105353475474,158.09794987921615,661.2918658674585
gls_map,3.5535115128765784,6.122291413997578,0.09172173298072889,PeMS7_228,0.1,23,205,random,9,23,2026,,385.36433117639,1924.2952541834877,107.07041944581864
historical_tod_mean,3.4401002286585363,6.089721360125269,0.09308357517582731,PeMS7_228,0.1,23,205,random,10,23,2026,,,,
neighbor_average,8.257816169828367,12.667857166187455,0.21410802819551789,PeMS7_228,0.1,23,205,random,10,23,2026,,,,
gsp,3.511380390571261,6.046563398662719,0.09167183069194328,PeMS7_228,0.1,23,205,random,10,23,2026,,19.22482866754332,161.5405893372637,661.3536651852646
gls_map,3.456012615577393,5.8630753868309595,0.08749199418399788,PeMS7_228,0.1,23,205,random,10,23,2026,,374.20932058411677,1727.4621991512195,108.62521037242529
historical_tod_mean,3.423626058604336,6.0758775215768415,0.09343876748525601,PeMS7_228,0.1,23,205,random,11,23,2026,,,,
neighbor_average,8.144800417795844,12.409989050108106,0.2075689917372225,PeMS7_228,0.1,23,205,random,11,23,2026,,,,
gsp,3.516890179141447,6.041057969514489,0.09191005801623893,PeMS7_228,0.1,23,205,random,11,23,2026,,19.216032036717202,155.32444520064755,661.2576760415395
gls_map,3.4290931954930617,5.8560557976183905,0.08669429167226313,PeMS7_228,0.1,23,205,random,11,23,2026,,377.9559872965691,1762.044925935248,107.78136395925432
historical_tod_mean,3.4279043868563686,6.142723262456164,0.09407752710965149,PeMS7_228,0.1,23,205,random,12,23,2026,,,,
neighbor_average,8.064092705510388,12.439042103878402,0.20892507051344272,PeMS7_228,0.1,23,205,random,12,23,2026,,,,
gsp,3.484080682986214,6.109743013171487,0.09229590675196515,PeMS7_228,0.1,23,205,random,12,23,2026,,19.21695597703949,158.3238809734257,661.2490633604361
gls_map,3.515544553694293,6.106665059209656,0.08994064313979645,PeMS7_228,0.1,23,205,random,12,23,2026,,379.0504406390454,1767.2928920378304,108.35716686344942
historical_tod_mean,3.5190165142276415,6.228030471560612,0.09702360626834163,PeMS7_228,0.1,23,205,random,13,23,2026,,,,
neighbor_average,8.12938939701897,12.603035955314558,0.23471972513993686,PeMS7_228,0.1,23,205,random,13,23,2026,,,,
gsp,3.527340064592635,6.1709197638367135,0.09477144892232203,PeMS7_228,0.1,23,205,random,13,23,2026,,19.21656998977205,161.23745539545467,661.2800717817325
gls_map,3.4458982523000454,6.062725424539735,0.0905939013565315,PeMS7_228,0.1,23,205,random,13,23,2026,,369.5716310697793,1820.2830426561636,109.33352554919877
historical_tod_mean,3.48374212398374,6.169730535724203,0.09590671368746553,PeMS7_228,0.1,23,205,random,14,23,2026,,,,
neighbor_average,7.648286190153568,11.752475820210059,0.20997248853480666,PeMS7_228,0.1,23,205,random,14,23,2026,,,,
gsp,3.5332875146346288,6.128606884440189,0.09351179585020826,PeMS7_228,0.1,23,205,random,14,23,2026,,19.21722322360798,160.04132295851832,661.2881335522674
gls_map,3.4607717097242023,6.007007911407668,0.08905853839999225,PeMS7_228,0.1,23,205,random,14,23,2026,,379.5242967913765,2295.497676948663,108.87836656920895
historical_tod_mean,3.416948848238483,6.074159450382168,0.09270011727642481,PeMS7_228,0.1,23,205,random,15,23,2026,,,,
neighbor_average,7.882738256549232,11.717678548729866,0.19928126497811108,PeMS7_228,0.1,23,205,random,15,23,2026,,,,
gsp,3.4329094007505248,6.007243321915352,0.0897431791198515,PeMS7_228,0.1,23,205,random,15,23,2026,,19.219555184737473,158.5779471525484,661.3208178197362
gls_map,3.3442136594220804,5.7560698828646855,0.08377785967441047,PeMS7_228,0.1,23,205,random,15,23,2026,,374.05762839643467,1750.7962599033426,105.95843644869828
historical_tod_mean,3.4884741277100266,6.20281070334301,0.09557669787657642,PeMS7_228,0.1,23,205,random,16,23,2026,,,,
neighbor_average,7.935212003161697,12.103099334595516,0.211697170414335,PeMS7_228,0.1,23,205,random,16,23,2026,,,,
gsp,3.4913615066961414,6.15979065031639,0.09419949413058305,PeMS7_228,0.1,23,205,random,16,23,2026,,19.213989416738443,159.88846138055618,661.2219382108758
gls_map,3.3611875678156453,6.008071919036299,0.08933683532979167,PeMS7_228,0.1,23,205,random,16,23,2026,,376.5372050207142,1690.5356759473302,105.68767888826149
historical_tod_mean,3.46820964600271,6.169146575032915,0.09522233769366639,PeMS7_228,0.1,23,205,random,17,23,2026,,,,
neighbor_average,7.758254290876244,11.87974154454385,0.2126607526134495,PeMS7_228,0.1,23,205,random,17,23,2026,,,,
gsp,3.501991934095985,6.121186915649946,0.09245579581496989,PeMS7_228,0.1,23,205,random,17,23,2026,,19.215654963590445,161.06186518437644,661.2274642542626
gls_map,3.5729786286319802,6.170751841819829,0.09196038552096031,PeMS7_228,0.1,23,205,random,17,23,2026,,380.565611202289,1890.5292139296214,109.5800849523765
historical_tod_mean,3.4725165565718155,6.125713426429999,0.09327819293495741,PeMS7_228,0.1,23,205,random,18,23,2026,,,,
neighbor_average,8.623543642728094,13.373711425924347,0.2099544905296625,PeMS7_228,0.1,23,205,random,18,23,2026,,,,
gsp,3.548008653645079,6.071888420715232,0.0902029056442922,PeMS7_228,0.1,23,205,random,18,23,2026,,19.216288972319525,161.08991972067182,661.2674651687938
gls_map,3.5087566456316592,5.9812354285746805,0.0863398284611234,PeMS7_228,0.1,23,205,random,18,23,2026,,379.226050921667,1578.7081544554567,106.15574684894153
historical_tod_mean,3.4869993648373985,6.190133306624791,0.09594412298957943,PeMS7_228,0.1,23,205,random,19,23,2026,,,,
neighbor_average,7.908498757904245,12.13930514687563,0.21275813865831145,PeMS7_228,0.1,23,205,random,19,23,2026,,,,
gsp,3.4950599242171543,6.142967421335725,0.0939213049037419,PeMS7_228,0.1,23,205,random,19,23,2026,,19.218013582187083,158.74679917107503,661.2346241079
gls_map,3.470397912515604,6.004319262689693,0.08978288677409642,PeMS7_228,0.1,23,205,random,19,23,2026,,381.8446750616723,1817.8189018512417,106.95847497401739
historical_tod_mean,3.441715108401084,6.059921336680011,0.09373177834923063,PeMS7_228,0.1,23,205,random,20,23,2026,,,,
neighbor_average,7.924356933152664,12.389090780465143,0.21787874564516316,PeMS7_228,0.1,23,205,random,20,23,2026,,,,
gsp,3.494323005801025,6.04567557833589,0.09210032010669324,PeMS7_228,0.1,23,205,random,20,23,2026,,19.2205537079084,162.09132737015403,661.3496438426931
gls_map,3.468176454438584,5.971208932615582,0.08914544303182981,PeMS7_228,0.1,23,205,random,20,23,2026,,389.18393802942956,2319.9596418553447,108.6004672935911
historical_tod_mean,3.5305232892953913,6.248151740027814,0.09781915115820451,PeMS7_228,0.1,23,205,random,21,23,2026,,,,
neighbor_average,7.813757339656729,12.393233455804147,0.2313681507726375,PeMS7_228,0.1,23,205,random,21,23,2026,,,,
gsp,3.558333381801436,6.227664718851534,0.09720845595153897,PeMS7_228,0.1,23,205,random,21,23,2026,,19.219137136184973,158.9823864266257,661.3094869598218
gls_map,3.498143818016562,6.113716606136631,0.09388341218920201,PeMS7_228,0.1,23,205,random,21,23,2026,,375.33051627777877,1704.9635568105655,108.56790028822614
historical_tod_mean,3.4782556317750677,6.175590095849035,0.0955375696018271,PeMS7_228,0.1,23,205,random,22,23,2026,,,,
neighbor_average,8.081253387533875,12.432694417130103,0.2203250893565932,PeMS7_228,0.1,23,205,random,22,23,2026,,,,
gsp,3.466910554816096,6.120444540813794,0.09342331903438836,PeMS7_228,0.1,23,205,random,22,23,2026,,19.215312617896153,160.39687565298684,661.2485976885058
gls_map,3.4730345178504876,6.089779128407093,0.0913851829207383,PeMS7_228,0.1,23,205,random,22,23,2026,,374.88291522533325,1822.093764578182,107.93020447885678
historical_tod_mean,3.5035111788617885,6.160208296867709,0.09472913407795197,PeMS7_228,0.1,23,205,random,23,23,2026,,,,
neighbor_average,7.6232085591689245,12.022274962909476,0.21715934375232118,PeMS7_228,0.1,23,205,random,23,23,2026,,,,
gsp,3.543065686223948,6.087123166878667,0.09162910690965707,PeMS7_228,0.1,23,205,random,23,23,2026,,19.219368811057244,161.2792309872305,661.3043866425571
gls_map,3.4838246137030504,5.911082508497783,0.08736518910423899,PeMS7_228,0.1,23,205,random,23,23,2026,,376.10382785915533,1765.8092314548294,108.2854355744399
historical_tod_mean,3.5001131012872633,6.16701811970573,0.09518612618864271,PeMS7_228,0.1,23,205,random,24,23,2026,,,,
neighbor_average,8.297708897922313,12.843554025503309,0.2317663940666241,PeMS7_228,0.1,23,205,random,24,23,2026,,,,
gsp,3.6241671128381387,6.185071230133091,0.09488049946626935,PeMS7_228,0.1,23,205,random,24,23,2026,,19.21544732106924,160.0484033130678,661.2626827748007
gls_map,3.5943939401786715,6.1055718381467505,0.09040232350358011,PeMS7_228,0.1,23,205,random,24,23,2026,,388.3555421427835,2892.490936691698,107.33422656615716
historical_tod_mean,3.4408072069783198,6.094909761944451,0.0934661980696287,PeMS7_228,0.1,23,205,random,25,23,2026,,,,
neighbor_average,7.951682475158085,11.988635157091087,0.20359186878462895,PeMS7_228,0.1,23,205,random,25,23,2026,,,,
gsp,3.4657431508330405,6.0304246503216,0.09099069955698941,PeMS7_228,0.1,23,205,random,25,23,2026,,19.21598092928273,162.1160630967621,661.260081400448
gls_map,3.3361595026169812,5.766470132814794,0.08423305378590815,PeMS7_228,0.1,23,205,random,25,23,2026,,359.5495162279586,1369.6584490147525,107.6501284606103
historical_tod_mean,3.4828290989159894,6.191338108997491,0.09589603108034118,PeMS7_228,0.1,23,205,random,26,23,2026,,,,
neighbor_average,7.722068936314362,11.841005352400218,0.207004047140148,PeMS7_228,0.1,23,205,random,26,23,2026,,,,
gsp,3.4954673233435076,6.157548962358271,0.09471071188485447,PeMS7_228,0.1,23,205,random,26,23,2026,,19.218903716329216,158.68666733576555,661.2771520985965
gls_map,3.382895917162381,5.895774287097246,0.08860149419240235,PeMS7_228,0.1,23,205,random,26,23,2026,,366.3753694356603,1605.355169690025,107.06594410810636
historical_tod_mean,3.4710047425474255,6.124241207976349,0.09550933588065422,PeMS7_228,0.1,23,205,random,27,23,2026,,,,
neighbor_average,7.778047933604336,12.000001665145298,0.22391991847807097,PeMS7_228,0.1,23,205,random,27,23,2026,,,,
gsp,3.479756387797438,6.053554404364358,0.09227270285136568,PeMS7_228,0.1,23,205,random,27,23,2026,,19.221146611158037,155.65424753050186,661.3410783557808
gls_map,3.448859911648282,5.977056972660007,0.08936166919248424,PeMS7_228,0.1,23,205,random,27,23,2026,,365.0324852366868,1484.2887359107249,108.86746861101129
historical_tod_mean,3.4739647696476967,6.167855231758764,0.09529389412726529,PeMS7_228,0.1,23,205,random,28,23,2026,,,,
neighbor_average,8.195002540650407,12.23531098367072,0.2187223742496969,PeMS7_228,0.1,23,205,random,28,23,2026,,,,
gsp,3.558529756427856,6.160472650742963,0.09433773496649946,PeMS7_228,0.1,23,205,random,28,23,2026,,19.217480118917436,157.73398938832776,661.2908590144016
gls_map,3.4629312473074703,6.005039639753236,0.09049373778727586,PeMS7_228,0.1,23,205,random,28,23,2026,,372.945400104932,1706.3276240322084,109.12160957497746
