method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.2531287596060063,0.274423800881306,648,25
gsp,condition_number,0.2554672378417235,0.2753580115544347,648,25
gsp,information_logdet,-0.259544071356483,-0.2856814738962803,648,25
gls_map,posterior_trace,0.838962057178476,0.8333152148003173,648,25
gls_map,condition_number,0.812057628872205,0.8449460781431969,648,25
gls_map,information_logdet,-0.807214351671141,-0.8026132760761229,648,25
gsp,posterior_trace,-0.0879072588705919,-0.1062414819932595,648,26
gsp,condition_number,-0.0850066809972189,-0.1018522401936003,648,26
gsp,information_logdet,0.0788717252694034,0.0649613519596834,648,26
gls_map,posterior_trace,0.8419210042623485,0.844596451940239,648,26
gls_map,condition_number,0.8341921974268814,0.8467098591874781,648,26
gls_map,information_logdet,-0.7883963567244148,-0.7985075828148825,648,26
gsp,posterior_trace,0.1226353772868142,0.1532980299038713,648,27
gsp,condition_number,0.1250062233027802,0.1377536071886814,648,27
gsp,information_logdet,-0.1369439875979966,-0.172371443106787,648,27
gls_map,posterior_trace,0.862403988934743,0.8545445901480796,648,27
gls_map,condition_number,0.8331010493506671,0.8531583790105971,648,27
gls_map,information_logdet,-0.8191949459595307,-0.8082160220772383,648,27
gsp,posterior_trace,0.2263112534771572,0.2465165941921622,648,28
gsp,condition_number,0.229323415863398,0.2438254516129181,648,28
gsp,information_logdet,-0.2292202218237914,-0.2599946226542552,648,28
gls_map,posterior_trace,0.870448065342835,0.8532954853691807,648,28
gls_map,condition_number,0.8436217681630113,0.8657107460320796,648,28
gls_map,information_logdet,-0.8369873234596519,-0.8174335771779325,648,28
gsp,posterior_trace,0.1885943588438634,0.1947823654832391,648,29
gsp,condition_number,0.1919254006056352,0.1983437265350307,648,29
gsp,information_logdet,-0.1949973191122548,-0.2309058381130241,648,29
gls_map,posterior_trace,0.8760831710917133,0.8590785401105492,648,29
gls_map,condition_number,0.8394484618490237,0.8686653237930918,648,29
gls_map,information_logdet,-0.8418588515679095,-0.8253832742117907,648,29
