method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,3.8277790057588073,6.73876465457123,0.09005630361784323,PeMS7_228,0.1,23,205,random,0,28,2026,,,,
neighbor_average,7.635713922764229,11.901346355081444,0.18979343617940386,PeMS7_228,0.1,23,205,random,0,28,2026,,,,
gsp,3.565678473469104,6.257356675023803,0.08771184606451807,PeMS7_228,0.1,23,205,random,0,28,2026,,19.216007447433086,161.6633347321904,661.254288376412
gls_map,3.3997379790634734,5.888133454141863,0.08258188914964745,PeMS7_228,0.1,23,205,random,0,28,2026,,374.5457748559451,1853.848570996832,110.97652239560597
historical_tod_mean,3.8097309451219505,6.721832063115102,0.08963413973901323,PeMS7_228,0.1,23,205,random,1,28,2026,,,,
neighbor_average,7.328711890243902,11.422345908965548,0.19202471842793087,PeMS7_228,0.1,23,205,random,1,28,2026,,,,
gsp,3.6439955912483772,6.244240991838609,0.08853120939354812,PeMS7_228,0.1,23,205,random,1,28,2026,,19.21482007855433,161.64249249149069,661.2410696051451
gls_map,3.4957003355135603,5.928484041839775,0.08382917105720523,PeMS7_228,0.1,23,205,random,1,28,2026,,372.8132853258692,2025.6147587713328,110.37742760017609
historical_tod_mean,3.889236407520326,6.806979946987307,0.09062250139728237,PeMS7_228,0.1,23,205,random,2,28,2026,,,,
neighbor_average,7.2878641598915985,11.043856850157423,0.17840743644488596,PeMS7_228,0.1,23,205,random,2,28,2026,,,,
gsp,3.6697846518261197,6.321290370976961,0.08655575289376623,PeMS7_228,0.1,23,205,random,2,28,2026,,19.219616447338723,157.1805255092368,661.3412588891111
gls_map,3.504881542028237,5.93147539249103,0.08219385391423986,PeMS7_228,0.1,23,205,random,2,28,2026,,376.9802279746824,1857.7525924716192,109.7974680057456
historical_tod_mean,3.873304031165312,6.821996413339876,0.0897811282108047,PeMS7_228,0.1,23,205,random,3,28,2026,,,,
neighbor_average,7.424972335140018,11.280398631816293,0.1858474363524417,PeMS7_228,0.1,23,205,random,3,28,2026,,,,
gsp,3.6850906230513356,6.387528728494614,0.08546068540733101,PeMS7_228,0.1,23,205,random,3,28,2026,,19.21494150776166,161.72565376551506,661.2497596282138
gls_map,3.4770519024195248,6.00359283112497,0.08060929515822113,PeMS7_228,0.1,23,205,random,3,28,2026,,379.95806146515673,1950.443977618244,111.2088238586398
historical_tod_mean,3.7976645918021674,6.686734192263523,0.08883419024582231,PeMS7_228,0.1,23,205,random,4,28,2026,,,,
neighbor_average,7.935122233514002,12.60305736643124,0.18844622007230086,PeMS7_228,0.1,23,205,random,4,28,2026,,,,
gsp,3.5782565677722187,6.210332930085475,0.08812175122635756,PeMS7_228,0.1,23,205,random,4,28,2026,,19.22032593777326,156.6275219360895,661.3035164266824
gls_map,3.433953815898057,5.926247492164793,0.08355171283862457,PeMS7_228,0.1,23,205,random,4,28,2026,,393.66929901826427,2372.450657133249,110.14544119832145
historical_tod_mean,3.855650067750677,6.792581601002332,0.09012624992294474,PeMS7_228,0.1,23,205,random,5,28,2026,,,,
neighbor_average,7.460357949412828,11.531121521783366,0.1912951346714376,PeMS7_228,0.1,23,205,random,5,28,2026,,,,
gsp,3.6250523612914254,6.325634355411766,0.08666563869790957,PeMS7_228,0.1,23,205,random,5,28,2026,,19.21685715109446,161.90503444067465,661.2838848102369
gls_map,3.44765506423037,5.9962281261014185,0.08320609274785708,PeMS7_228,0.1,23,205,random,5,28,2026,,373.8140847367743,1923.3915968129602,111.10745731035843
historical_tod_mean,3.8231924542682916,6.721718004617893,0.08833275512190336,PeMS7_228,0.1,23,205,random,6,28,2026,,,,
neighbor_average,7.090699243450767,11.062979158309782,0.18216814460710748,PeMS7_228,0.1,23,205,random,6,28,2026,,,,
gsp,3.6420980518006703,6.312009950358842,0.08380802810898108,PeMS7_228,0.1,23,205,random,6,28,2026,,19.21528461624527,161.07999625212247,661.2269037273044
gls_map,3.4253221375519853,5.847788370663917,0.07955238751941408,PeMS7_228,0.1,23,205,random,6,28,2026,,376.2598051084139,2179.6422898704295,113.66871634215342
historical_tod_mean,3.835801871612465,6.7420079765475505,0.08979063144343989,PeMS7_228,0.1,23,205,random,7,28,2026,,,,
neighbor_average,7.4442767615176155,11.677725879257528,0.1904096942279547,PeMS7_228,0.1,23,205,random,7,28,2026,,,,
gsp,3.681106243883547,6.284775303319263,0.08788403793460701,PeMS7_228,0.1,23,205,random,7,28,2026,,19.216508998730312,157.92525672415013,661.2589903890878
gls_map,3.4537707785119665,5.916350286598538,0.08238681024042788,PeMS7_228,0.1,23,205,random,7,28,2026,,380.00274800405134,2035.975234987326,111.95936613555236
historical_tod_mean,3.8059470697831976,6.704729120121718,0.088629867008554,PeMS7_228,0.1,23,205,random,8,28,2026,,,,
neighbor_average,7.344608739837398,11.804341770856169,0.194493672737198,PeMS7_228,0.1,23,205,random,8,28,2026,,,,
gsp,3.635127461570459,6.283944647042706,0.08749577408075696,PeMS7_228,0.1,23,205,random,8,28,2026,,19.21554172550651,159.82769006926253,661.2436634299186
gls_map,3.5328959134679674,5.98057221412363,0.08484572836489038,PeMS7_228,0.1,23,205,random,8,28,2026,,368.4085801250083,1956.8321679225949,112.60377945452026
historical_tod_mean,3.906876058604336,6.838887087628225,0.0904256932405897,PeMS7_228,0.1,23,205,random,9,28,2026,,,,
neighbor_average,7.195118281391147,11.570485634006898,0.19117211017060728,PeMS7_228,0.1,23,205,random,9,28,2026,,,,
gsp,3.6996854648251802,6.4026518284994385,0.08664806401618248,PeMS7_228,0.1,23,205,random,9,28,2026,,19.219105353475474,158.09794987921615,661.2918658674585
gls_map,3.529199721766362,6.072593890299391,0.08222099692584982,PeMS7_228,0.1,23,205,random,9,28,2026,,380.978931841463,2088.43957774063,110.74722041620916
historical_tod_mean,3.8086543868563685,6.699175041002614,0.08929207881729961,PeMS7_228,0.1,23,205,random,10,28,2026,,,,
neighbor_average,7.400057870370371,11.57944012360298,0.1879058223935942,PeMS7_228,0.1,23,205,random,10,28,2026,,,,
gsp,3.626255744695685,6.231798294181455,0.08637900554265851,PeMS7_228,0.1,23,205,random,10,28,2026,,19.22482866754332,161.5405893372637,661.3536651852646
gls_map,3.4516876287484886,5.903314300043588,0.08341955426993031,PeMS7_228,0.1,23,205,random,10,28,2026,,369.42671878498993,1871.1189129449617,112.40697862364205
historical_tod_mean,3.8253287601626016,6.750421846629167,0.08904226785532028,PeMS7_228,0.1,23,205,random,11,28,2026,,,,
neighbor_average,7.586899841915086,11.793690446732837,0.18471287357471508,PeMS7_228,0.1,23,205,random,11,28,2026,,,,
gsp,3.6889638402275025,6.3832600440194724,0.08655793032237453,PeMS7_228,0.1,23,205,random,11,28,2026,,19.216032036717202,155.32444520064755,661.2576760415395
gls_map,3.470819955449469,6.013235252737011,0.08021957713654278,PeMS7_228,0.1,23,205,random,11,28,2026,,372.95136325242606,1896.155490773712,111.46621664441919
historical_tod_mean,3.827244749322493,6.776390858471548,0.08930650836266002,PeMS7_228,0.1,23,205,random,12,28,2026,,,,
neighbor_average,7.542486732158988,11.692688788403379,0.18490543599392809,PeMS7_228,0.1,23,205,random,12,28,2026,,,,
gsp,3.6647073749093795,6.363234342539383,0.08555302882113323,PeMS7_228,0.1,23,205,random,12,28,2026,,19.21695597703949,158.3238809734257,661.2490633604361
gls_map,3.5039321329621105,6.048930089530978,0.08083974772709146,PeMS7_228,0.1,23,205,random,12,28,2026,,375.0505049148078,1909.0423895981608,111.94414081415998
historical_tod_mean,3.886146383807588,6.837493597054801,0.09050107746027525,PeMS7_228,0.1,23,205,random,13,28,2026,,,,
neighbor_average,7.373814363143629,11.669541557645388,0.1978484934790941,PeMS7_228,0.1,23,205,random,13,28,2026,,,,
gsp,3.7304700261885544,6.478658062855219,0.08772152115049267,PeMS7_228,0.1,23,205,random,13,28,2026,,19.21656998977205,161.23745539545467,661.2800717817325
gls_map,3.5695610347391833,6.0779085958800945,0.08420440336417408,PeMS7_228,0.1,23,205,random,13,28,2026,,364.9446802040909,2000.5437460904086,112.94017171032047
historical_tod_mean,3.862019986449865,6.793668089326655,0.09051224859426774,PeMS7_228,0.1,23,205,random,14,28,2026,,,,
neighbor_average,7.145223859530261,11.123198651652693,0.18785967597359157,PeMS7_228,0.1,23,205,random,14,28,2026,,,,
gsp,3.7455298630039136,6.360299240389054,0.08885242826130053,PeMS7_228,0.1,23,205,random,14,28,2026,,19.21722322360798,160.04132295851832,661.2881335522674
gls_map,3.4799541956405178,5.985090358782021,0.08377821254308372,PeMS7_228,0.1,23,205,random,14,28,2026,,372.77827755845203,2409.4572849962947,112.58803382461655
historical_tod_mean,3.7958671239837396,6.71320293895622,0.08891699954736479,PeMS7_228,0.1,23,205,random,15,28,2026,,,,
neighbor_average,7.120717874887084,10.878971570125197,0.17840324828619386,PeMS7_228,0.1,23,205,random,15,28,2026,,,,
gsp,3.55328273646448,6.210581408801576,0.08566643563239952,PeMS7_228,0.1,23,205,random,15,28,2026,,19.219555184737473,158.5779471525484,661.3208178197362
gls_map,3.2724019007353085,5.648014375801321,0.07699355623049126,PeMS7_228,0.1,23,205,random,15,28,2026,,370.6368223355885,1936.800683879678,109.62537405473248
historical_tod_mean,3.8695159214092127,6.815624393831772,0.09056147903738888,PeMS7_228,0.1,23,205,random,16,28,2026,,,,
neighbor_average,7.4449240627822935,11.431573053413711,0.18798463818181382,PeMS7_228,0.1,23,205,random,16,28,2026,,,,
gsp,3.6392648184257843,6.371420906625313,0.08726088645551347,PeMS7_228,0.1,23,205,random,16,28,2026,,19.213989416738443,159.88846138055618,661.2219382108758
gls_map,3.354275232558058,5.928989249769564,0.08137830011330198,PeMS7_228,0.1,23,205,random,16,28,2026,,372.6529290169103,1846.632572831047,109.2750370865022
historical_tod_mean,3.8754092987804865,6.846808286624925,0.09074822486032287,PeMS7_228,0.1,23,205,random,17,28,2026,,,,
neighbor_average,7.1768467705510375,11.255170287208811,0.18756422097920727,PeMS7_228,0.1,23,205,random,17,28,2026,,,,
gsp,3.670293102341847,6.46771010165446,0.08714325731517499,PeMS7_228,0.1,23,205,random,17,28,2026,,19.215654963590445,161.06186518437644,661.2274642542626
gls_map,3.5601541423067657,6.229269028848403,0.08522368940466464,PeMS7_228,0.1,23,205,random,17,28,2026,,376.04210694066666,2057.868905419689,113.25998983491407
historical_tod_mean,3.8685815548780487,6.761853394167028,0.09084734244049676,PeMS7_228,0.1,23,205,random,18,28,2026,,,,
neighbor_average,7.575021736675702,12.010802617898674,0.18882071952372853,PeMS7_228,0.1,23,205,random,18,28,2026,,,,
gsp,3.662972430849483,6.308844635735994,0.08734363789178377,PeMS7_228,0.1,23,205,random,18,28,2026,,19.216288972319525,161.08991972067182,661.2674651687938
gls_map,3.3598362472334107,5.811461252371657,0.07926888940255862,PeMS7_228,0.1,23,205,random,18,28,2026,,375.2173948762667,1758.9624806161187,109.80407891590126
historical_tod_mean,3.8274811144986445,6.7578044250034,0.08923978790779094,PeMS7_228,0.1,23,205,random,19,28,2026,,,,
neighbor_average,7.070881323396568,11.27747973593922,0.18153023155162068,PeMS7_228,0.1,23,205,random,19,28,2026,,,,
gsp,3.583683206885449,6.261714864612167,0.08598095435349754,PeMS7_228,0.1,23,205,random,19,28,2026,,19.218013582187083,158.74679917107503,661.2346241079
gls_map,3.397513514423986,5.8432377315076,0.0819142244604993,PeMS7_228,0.1,23,205,random,19,28,2026,,376.7311868739405,2010.923958977118,110.72818739892428
historical_tod_mean,3.8128804200541997,6.686240514684681,0.08857787226440014,PeMS7_228,0.1,23,205,random,20,28,2026,,,,
neighbor_average,7.339437104787714,11.883375877768643,0.19551824293707223,PeMS7_228,0.1,23,205,random,20,28,2026,,,,
gsp,3.676943774532134,6.302079024657706,0.087921999446642,PeMS7_228,0.1,23,205,random,20,28,2026,,19.2205537079084,162.09132737015403,661.3496438426931
gls_map,3.5916236673703916,6.097938516806831,0.08681714638369337,PeMS7_228,0.1,23,205,random,20,28,2026,,382.66400842818314,2406.292677266844,112.13503907160147
historical_tod_mean,3.90972514397019,6.857422234453661,0.09217851506833213,PeMS7_228,0.1,23,205,random,21,28,2026,,,,
neighbor_average,7.1369198848238495,11.554407896140653,0.2002777207235582,PeMS7_228,0.1,23,205,random,21,28,2026,,,,
gsp,3.72981253367108,6.388747274550042,0.0901233544760163,PeMS7_228,0.1,23,205,random,21,28,2026,,19.219137136184973,158.9823864266257,661.3094869598218
gls_map,3.4467639658309945,5.989350998153907,0.08377172027347565,PeMS7_228,0.1,23,205,random,21,28,2026,,371.837654395871,1891.3858307323678,112.30311964708933
historical_tod_mean,3.8841217818428184,6.865266100686552,0.09133211596094581,PeMS7_228,0.1,23,205,random,22,28,2026,,,,
neighbor_average,7.326310975609757,11.582559995273636,0.19374006577535316,PeMS7_228,0.1,23,205,random,22,28,2026,,,,
gsp,3.6405543614703895,6.402179654644255,0.0882480391553973,PeMS7_228,0.1,23,205,random,22,28,2026,,19.215312617896153,160.39687565298684,661.2485976885058
gls_map,3.4415982077726617,6.053538732389921,0.0837829629256201,PeMS7_228,0.1,23,205,random,22,28,2026,,370.4229974680336,1951.5090165170095,111.55548782526542
historical_tod_mean,3.901327870934959,6.841199395515914,0.08996207687239802,PeMS7_228,0.1,23,205,random,23,28,2026,,,,
neighbor_average,6.9935077913279144,11.365945099048293,0.18858213705039628,PeMS7_228,0.1,23,205,random,23,28,2026,,,,
