method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.0265064513925397,-0.0371633047352114,210,25
gsp,condition_number,0.0273572939386197,0.002763923605307,210,25
gsp,information_logdet,0.0140373037579507,0.0403418816708974,210,25
gls_map,posterior_trace,0.867652208234414,0.8795224748584024,210,25
gls_map,condition_number,0.8570984361583899,0.8875110304264839,210,25
gls_map,information_logdet,-0.7781427998813116,-0.8191878237049536,210,25
gsp,posterior_trace,-0.0156872417025095,-0.0362018273253953,210,26
gsp,condition_number,-0.0161442040071628,-0.0937297937488419,210,26
gsp,information_logdet,0.0450592261221909,0.0339912067578126,210,26
gls_map,posterior_trace,0.8618105721256538,0.8661874829117476,210,26
gls_map,condition_number,0.8734267033443711,0.8747112004343495,210,26
gls_map,information_logdet,-0.7663799680815477,-0.8120881812138718,210,26
gsp,posterior_trace,0.5023956966448395,0.4715696831400661,210,27
gsp,condition_number,0.5018662514380126,0.4283848345727581,210,27
gsp,information_logdet,-0.4517280689032821,-0.4819761859409197,210,27
gls_map,posterior_trace,0.8892592219878486,0.8742123206462372,210,27
gls_map,condition_number,0.8847032733011728,0.894948874540156,210,27
gls_map,information_logdet,-0.7938731310183729,-0.8140396434499676,210,27
gsp,posterior_trace,0.3770463106156051,0.3781703162638699,210,28
gsp,condition_number,0.3782239352767855,0.3990196040319853,210,28
gsp,information_logdet,-0.3397785976128909,-0.4061088801898076,210,28
gls_map,posterior_trace,0.8742453673729769,0.8792931197350367,210,28
gls_map,condition_number,0.8894860814881598,0.8988997433036727,210,28
gls_map,information_logdet,-0.7752766702940356,-0.8134785656622987,210,28
gsp,posterior_trace,0.2820419346024548,0.3320029855078473,210,29
gsp,condition_number,0.2833404624790043,0.3618528808077457,210,29
gsp,information_logdet,-0.2299291184804835,-0.3435757157962391,210,29
gls_map,posterior_trace,0.853516044658975,0.8607631186117387,210,29
gls_map,condition_number,0.861344858702535,0.8895206601289573,210,29
gls_map,information_logdet,-0.7390195376806503,-0.8101714593742873,210,29
gsp,posterior_trace,0.5684350814967117,0.5312424884626025,210,30
gsp,condition_number,0.5670606956613611,0.520010573653074,210,30
gsp,information_logdet,-0.5280074033696602,-0.5705878808572175,210,30
gls_map,posterior_trace,0.8893903324454293,0.8865327812400589,210,30
gls_map,condition_number,0.8641525268172359,0.8916537465523866,210,30
gls_map,information_logdet,-0.8063959896044083,-0.8263990167539274,210,30
gsp,posterior_trace,0.2548236857340869,0.2565753370518258,210,31
gsp,condition_number,0.2551566818005897,0.2548908068057613,210,31
gsp,information_logdet,-0.2091093338960312,-0.2281378749132628,210,31
gls_map,posterior_trace,0.8934451296009428,0.9039416064069165,210,31
gls_map,condition_number,0.8890366642757126,0.9051363270891252,210,31
gls_map,information_logdet,-0.8066123782803186,-0.8474891104838036,210,31
gsp,posterior_trace,0.1331643647276834,0.1564714792831935,210,32
gsp,condition_number,0.1351458517146642,0.1732908658938992,210,32
gsp,information_logdet,-0.0841976331972397,-0.1102414903686983,210,32
gls_map,posterior_trace,0.8594735682350456,0.8621924679469529,210,32
gls_map,condition_number,0.8822618479123412,0.8921732189494104,210,32
gls_map,information_logdet,-0.7641776731897073,-0.8062829090800717,210,32
gsp,posterior_trace,0.0541153817503411,0.0908020113291138,210,33
gsp,condition_number,0.0533339643248411,0.0257454532261021,210,33
gsp,information_logdet,-0.0226306044035485,-0.097724134847942,210,33
gls_map,posterior_trace,0.8536046504194432,0.8597498990901593,210,33
gls_map,condition_number,0.8712187138254671,0.8716634153073264,210,33
gls_map,information_logdet,-0.7575220093865136,-0.8040074974553875,210,33
gsp,posterior_trace,0.580189174556834,0.5049181772357914,210,34
gsp,condition_number,0.5805505293860287,0.5304504560538738,210,34
gsp,information_logdet,-0.5195945900914987,-0.5261989636258324,210,34
gls_map,posterior_trace,0.905452567360152,0.8979538153937459,210,34
gls_map,condition_number,0.9013939599003348,0.9189585981607534,210,34
gls_map,information_logdet,-0.8067296933665069,-0.8372550467845579,210,34
