split_seed,budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,best_layout,mae
25,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.964385197313397
25,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.730937699205327
25,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.5622249275560542
26,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.2129971680898697
26,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,2.9165007559876943
26,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.7090619656802986
27,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,2.903891190216778
27,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.670233491305063
27,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.5145390311768336
28,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.896677152530421
28,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.666446731147656
28,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.468227694726514
29,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,3.304063401377576
29,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.027947759031425
29,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.821069344447521
30,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,2.839401631300348
30,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.632172046062757
30,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.4418998075197647
31,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,3.206658103021357
31,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.909382597588532
31,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.6902459764692703
32,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,3.269263841708272
32,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.0333048230272666
32,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.7223625652856183
33,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.151337459810587
33,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,2.861809703247211
33,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.691427711115318
34,0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.060085453137693
34,0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.7900834117510454
34,0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.6203180212630506
