method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,6.158673922945548,10.089077465763646,0.244438574612017,Seattle,0.1,32,291,random,0,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.604215845154956,9.269006921703216,0.2042991696243719,Seattle,0.1,32,291,random,0,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.631629050861833,7.598893936101488,0.1772569506062921,Seattle,0.1,32,291,random,0,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.152961477211562,240.71848152886824,1038.7717235498678
gls_map,3.671475170524849,6.203563988749535,0.1298817484109111,Seattle,0.1,32,291,random,0,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,521.007596811023,609.7023711707426,149.51834010250417
historical_tod_mean,6.160808267900148,10.06889453630887,0.2387163956224791,Seattle,0.1,32,291,random,1,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.889874980390736,9.394452964068028,0.20444164171713314,Seattle,0.1,32,291,random,1,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.567630569123326,7.4238382642865695,0.16300183836679102,Seattle,0.1,32,291,random,1,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.15203095429948,240.37317037840268,1038.760734678672
gls_map,3.659150099090584,5.9830030924512725,0.12182036327916602,Seattle,0.1,32,291,random,1,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,518.9466167215819,657.1912494626121,151.68814045029677
historical_tod_mean,6.037611562502078,9.852135611825016,0.2273719717951858,Seattle,0.1,32,291,random,2,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,6.038574135500874,9.541285876454928,0.17310186864456162,Seattle,0.1,32,291,random,2,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.4799844033793015,7.300416339132422,0.15862846185863444,Seattle,0.1,32,291,random,2,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.151932813093573,239.19810087358186,1038.8196295241357
gls_map,3.570425915422276,5.8355666685267105,0.1159537672647196,Seattle,0.1,32,291,random,2,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,525.3313670857253,782.8775423914552,148.02442419694987
historical_tod_mean,6.124924519709076,10.04401406392926,0.24163066437521827,Seattle,0.1,32,291,random,3,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,6.75822917513614,10.722470405880129,0.1992757513988907,Seattle,0.1,32,291,random,3,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.586450732592685,7.583608838531931,0.17257053737802405,Seattle,0.1,32,291,random,3,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.15214864729117,239.82089388216568,1038.7596438021476
gls_map,3.624230664067024,6.0318895692358145,0.12694682037816335,Seattle,0.1,32,291,random,3,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,539.4232358430952,1471.3258392136734,150.24449565136254
historical_tod_mean,6.156663170117534,10.052780100293418,0.24293342284431127,Seattle,0.1,32,291,random,4,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.932349417090996,9.358660784420497,0.20525189897758875,Seattle,0.1,32,291,random,4,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.616481622492151,7.567481886047117,0.17231287095091774,Seattle,0.1,32,291,random,4,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.15168616534362,242.34092739821486,1038.7081101050103
gls_map,3.5487747742456097,5.788470697139012,0.11976755542204778,Seattle,0.1,32,291,random,4,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,510.0596808094658,800.4375084351568,151.50291709481328
historical_tod_mean,6.199068085973688,10.154025015920517,0.24669750578136612,Seattle,0.1,32,291,random,5,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.862651817653462,9.882702836569084,0.22841269524595967,Seattle,0.1,32,291,random,5,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.593506086679419,7.64978127491005,0.17641666684683452,Seattle,0.1,32,291,random,5,29,4055,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.15201697811011,239.85942252362943,1038.7723729048778
