method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.331968635125106,7.161012175335508,0.12879736351947108,Seattle,0.1,32,291,random,0,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.201367045159802,8.332558662844065,0.15374435387451438,Seattle,0.1,32,291,random,0,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.0190222148768635,6.2949481098207,0.11302519719747643,Seattle,0.1,32,291,random,0,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.153193586421796,241.89998267547648,1038.7695175649258
gls_map,3.388183825345579,5.371078701132145,0.08787613478169617,Seattle,0.1,32,291,random,0,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,507.05415606124,725.5102416623977,157.11101493334303
historical_tod_mean,4.3277484859980975,7.151426463470868,0.127108386644317,Seattle,0.1,32,291,random,1,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.175222093542508,8.30710420893385,0.1460533377644801,Seattle,0.1,32,291,random,1,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,3.979144083692652,6.281255802706002,0.11049476002850912,Seattle,0.1,32,291,random,1,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.149412718754014,240.65068080948035,1038.7167183029105
gls_map,3.1967389248471254,5.126533751457608,0.08037378564067243,Seattle,0.1,32,291,random,1,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,504.1291028559697,658.5525151648371,156.9405802858726
historical_tod_mean,4.314573792029869,7.124406092472632,0.12522360392634302,Seattle,0.1,32,291,random,2,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.397239746227082,9.10990350594669,0.150574641819493,Seattle,0.1,32,291,random,2,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,3.983425372860178,6.251421323888385,0.10763244720881494,Seattle,0.1,32,291,random,2,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.155050546058,242.33336238822534,1038.796864220154
gls_map,3.2701985991947704,5.188446317634262,0.07980863949383676,Seattle,0.1,32,291,random,2,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,512.6561054333431,762.2751096051488,156.3314339177697
historical_tod_mean,4.356097073803063,7.200886526867191,0.12952969002118075,Seattle,0.1,32,291,random,3,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.342340367601811,8.926745532714142,0.16015939988107575,Seattle,0.1,32,291,random,3,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.007999330438337,6.36024791841866,0.114345196550642,Seattle,0.1,32,291,random,3,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.151390029446283,242.83960062153412,1038.8139804770624
gls_map,3.226984902826263,5.173797615998935,0.08372876974771716,Seattle,0.1,32,291,random,3,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,512.9616493894712,790.0825049997732,156.68848074291597
historical_tod_mean,4.365852396610035,7.213334308376768,0.1290099743200286,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
neighbor_average,5.282681763797495,8.588674099269145,0.1534844889259732,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,,,
gsp,4.0288470938786896,6.3965591908912085,0.11364440622236846,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,20.1494688260681,239.09578954154784,1038.6862235166416
gls_map,3.2337161373181185,5.123370264839797,0.08236625102125127,Seattle,0.1,32,291,random,4,25,4051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,32,32,0,500.07299929584246,640.881223100698,158.03280295972496
